State,Month,so2
Alabama,01/2016,0.9121496612903225
Alabama,02/2016,0.8414592471264367
Alabama,03/2016,0.9701872045454546
Alabama,04/2016,1.007052158227848
Alabama,05/2016,0.955465994623656
Alabama,06/2016,1.1853513555555557
Alabama,07/2016,0.8579751989247313
Alabama,08/2016,0.9432064615384618
Alabama,09/2016,1.0907675747126435
Alabama,10/2016,1.5102714458598725
Alabama,11/2016,1.4389952808219177
Alabama,12/2016,1.3685366500000002
Alaska,01/2016,13.989657806451614
Alaska,02/2016,13.007872465517242
Alaska,03/2016,6.8429164193548395
Alaska,04/2016,2.8512448499999996
Alaska,05/2016,1.6046964516129032
Alaska,06/2016,1.4988465333333336
Alaska,07/2016,1.784999741935484
Alaska,08/2016,2.4259689677419347
Alaska,09/2016,2.5832264
Alaska,10/2016,4.335675870967742
Alaska,11/2016,6.7116786
Alaska,12/2016,11.693645225806453
Arkansas,01/2016,1.6066677741935487
Arkansas,02/2016,1.4919397068965516
Arkansas,03/2016,1.39710125
Arkansas,04/2016,1.3737522833333335
Arkansas,05/2016,0.5835244758064516
Arkansas,06/2016,0.6015904583333334
Arkansas,07/2016,0.8559153225806453
Arkansas,08/2016,0.6912334758064517
Arkansas,09/2016,0.9849950333333334
Arkansas,10/2016,0.8211314677419354
Arkansas,11/2016,0.7843299083333333
Arkansas,12/2016,0.7222198064516129
Arizona,01/2016,2.7319266763565895
Arizona,02/2016,3.6114452217898836
Arizona,03/2016,2.5409633819188193
Arizona,04/2016,2.177675392857143
Arizona,05/2016,1.6779460147679324
Arizona,06/2016,3.20792560625
Arizona,07/2016,2.25588856504065
Arizona,08/2016,2.2117866983122365
Arizona,09/2016,2.90041740625
Arizona,10/2016,2.8147815555555553
Arizona,11/2016,1.5576313738738736
Arizona,12/2016,3.367811662561576
California,01/2016,0.49584810520833333
California,02/2016,0.6630984944196429
California,03/2016,0.5992831182008368
California,04/2016,0.5358939661290323
California,05/2016,0.47319616482939636
California,06/2016,0.6800081693635383
California,07/2016,0.6501426109947643
California,08/2016,0.5853697532877433
California,09/2016,0.5750715810363838
California,10/2016,0.5040054721345952
California,11/2016,0.5182462866414278
California,12/2016,0.5629862515822786
Kansas,01/2016,0.967942616935484
Kansas,02/2016,0.9863464497816593
Kansas,03/2016,0.6943677314049587
Kansas,04/2016,0.5115815085470086
Kansas,05/2016,0.6004369274193548
Kansas,06/2016,0.8813873849372386
Kansas,07/2016,1.1447622741935481
Kansas,08/2016,1.0860792967479673
Kansas,09/2016,0.601284686440678
Kansas,10/2016,0.7842956534653466
Kansas,11/2016,1.01773115
Kansas,12/2016,0.9022097298387097
North Carolina,01/2016,0.584291455284553
North Carolina,02/2016,0.2416479583333333
North Carolina,03/2016,0.14775832285115303
North Carolina,04/2016,0.22398696907216492
North Carolina,05/2016,0.06627805806451612
North Carolina,06/2016,0.0709867462962963
North Carolina,07/2016,-0.06321500358422939
North Carolina,08/2016,-0.14352845503597123
North Carolina,09/2016,-0.05170180784313726
North Carolina,10/2016,0.39113930612244896
North Carolina,11/2016,0.3155973366666667
North Carolina,12/2016,0.3118327960199005
South Carolina,01/2016,0.32840629533678756
South Carolina,02/2016,0.28229451732673266
South Carolina,03/2016,0.18359703917050693
South Carolina,04/2016,0.25996684855769225
South Carolina,05/2016,0.14230771674876846
South Carolina,06/2016,0.18641393198992445
South Carolina,07/2016,0.15705941791044775
South Carolina,08/2016,0.14152317741935483
South Carolina,09/2016,0.16563497448979592
South Carolina,10/2016,0.19654552071005915
South Carolina,11/2016,0.28456913095238096
South Carolina,12/2016,0.2390910637254902
Colorado,01/2016,1.9513952862903226
Colorado,02/2016,1.2591746194690265
Colorado,03/2016,1.0045334233870968
Colorado,04/2016,1.0227333675213677
Colorado,05/2016,0.9637889075630254
Colorado,06/2016,1.1891010416666667
Colorado,07/2016,1.6645673699186994
Colorado,08/2016,1.3403961544715446
Colorado,09/2016,1.6705502773109244
Colorado,10/2016,1.3417144285714286
Colorado,11/2016,1.4999741
Colorado,12/2016,1.7302560588235292
Connecticut,01/2016,0.7251586322580645
Connecticut,02/2016,0.6051833632958802
Connecticut,03/2016,0.41120677419354834
