State,Month,pressure
Alabama,01/2016,998.2041666756758
Alabama,02/2016,996.135991413793
Alabama,03/2016,998.5718055555553
Alabama,04/2016,999.2826473555555
Alabama,05/2016,998.805074483871
Alabama,06/2016,998.8507835113636
Alabama,07/2016,1000.9015815888889
Alabama,08/2016,999.6218827111113
Alabama,09/2016,999.6918056222221
Alabama,10/2016,1002.3850037432433
Alabama,11/2016,1002.7076160895524
Alabama,12/2016,1000.275431564516
Alaska,01/2016,739.3183480322582
Alaska,02/2016,740.1303097931035
Alaska,03/2016,0.0
Alaska,04/2016,0.0
Alaska,05/2016,0.0
Alaska,06/2016,0.0
Alaska,07/2016,0.0
Alaska,08/2016,0.0
Alaska,09/2016,0.0
Alaska,10/2016,0.0
Alaska,11/2016,0.0
Alaska,12/2016,0.0
Arkansas,01/2016,0.0
Arkansas,02/2016,0.0
Arkansas,03/2016,0.0
Arkansas,04/2016,0.0
Arkansas,05/2016,0.0
Arkansas,06/2016,0.0
Arkansas,07/2016,0.0
Arkansas,08/2016,0.0
Arkansas,09/2016,0.0
Arkansas,10/2016,0.0
Arkansas,11/2016,0.0
Arkansas,12/2016,0.0
Arizona,01/2016,0.0
Arizona,02/2016,0.0
Arizona,03/2016,0.0
Arizona,04/2016,0.0
Arizona,05/2016,0.0
Arizona,06/2016,0.0
Arizona,07/2016,0.0
Arizona,08/2016,0.0
Arizona,09/2016,0.0
Arizona,10/2016,0.0
Arizona,11/2016,0.0
Arizona,12/2016,0.0
California,01/2016,978.5831084948805
California,02/2016,980.1187520892464
California,03/2016,976.4047931507033
California,04/2016,975.6900948700759
California,05/2016,1236.3320456551724
California,06/2016,973.0828260471894
California,07/2016,970.3490241863353
California,08/2016,970.7115675314402
California,09/2016,972.0076169403927
California,10/2016,973.3743722251343
California,11/2016,976.0438355027777
California,12/2016,976.3853111527591
Kansas,01/2016,0.0
Kansas,02/2016,0.0
Kansas,03/2016,0.0
Kansas,04/2016,0.0
Kansas,05/2016,0.0
Kansas,06/2016,0.0
Kansas,07/2016,0.0
Kansas,08/2016,0.0
Kansas,09/2016,0.0
Kansas,10/2016,0.0
Kansas,11/2016,0.0
Kansas,12/2016,0.0
North Carolina,01/2016,988.6940188548388
North Carolina,02/2016,988.8196120172413
North Carolina,03/2016,988.7795026290323
North Carolina,04/2016,989.0900392
North Carolina,05/2016,987.026142419355
North Carolina,06/2016,987.4295139000001
North Carolina,07/2016,988.3068938387097
North Carolina,08/2016,990.1244623548387
North Carolina,09/2016,989.34520835
North Carolina,10/2016,991.7180106774193
North Carolina,11/2016,991.6866666500001
North Carolina,12/2016,992.7106854838711
South Carolina,01/2016,0.0
South Carolina,02/2016,0.0
South Carolina,03/2016,0.0
South Carolina,04/2016,0.0
South Carolina,05/2016,0.0
South Carolina,06/2016,0.0
South Carolina,07/2016,0.0
South Carolina,08/2016,0.0
South Carolina,09/2016,0.0
South Carolina,10/2016,0.0
South Carolina,11/2016,0.0
South Carolina,12/2016,0.0
Colorado,01/2016,795.1100502322581
Colorado,02/2016,798.1434639793105
