State,Month,co
Alabama,01/2016,0.3795365430107527
Alabama,02/2016,0.38366033908045977
Alabama,03/2016,0.30168797849462364
Alabama,04/2016,0.28526506111111105
Alabama,05/2016,0.2905947258064516
Alabama,06/2016,0.3329766777777778
Alabama,07/2016,0.3282698296703297
Alabama,08/2016,0.3457618470588235
Alabama,09/2016,0.33589417777777775
Alabama,10/2016,0.375627753164557
Alabama,11/2016,0.4180433833333333
Alabama,12/2016,0.31393715
Alaska,01/2016,0.7135358306451612
Alaska,02/2016,0.6996180775862068
Alaska,03/2016,0.4399964596774193
Alaska,04/2016,0.24555994594594593
Alaska,05/2016,0.20504169354838703
Alaska,06/2016,0.19300109999999995
Alaska,07/2016,0.08297617741935484
Alaska,08/2016,0.07490849999999999
Alaska,09/2016,0.24095586666666663
Alaska,10/2016,0.6004689491525423
Alaska,11/2016,0.6632565916666666
Alaska,12/2016,0.8300640241935484
Arkansas,01/2016,0.3561702258064516
Arkansas,02/2016,0.3394739827586207
Arkansas,03/2016,0.27334040322580644
Arkansas,04/2016,0.2424384333333333
Arkansas,05/2016,0.22210069354838702
Arkansas,06/2016,0.2544867333333333
Arkansas,07/2016,0.26511514516129037
Arkansas,08/2016,0.2703680322580645
Arkansas,09/2016,0.27572766666666665
Arkansas,10/2016,0.3412103387096774
Arkansas,11/2016,0.34053445
Arkansas,12/2016,0.36675140322580646
Arizona,01/2016,0.5107483935483872
Arizona,02/2016,0.45668879722703637
Arizona,03/2016,0.34108136290322577
Arizona,04/2016,0.32485837229437226
Arizona,05/2016,0.25990725000000003
Arizona,06/2016,0.25814681758241753
Arizona,07/2016,0.20603957446808513
Arizona,08/2016,0.2426581404761905
Arizona,09/2016,0.2172853355263158
Arizona,10/2016,0.32287169730392157
Arizona,11/2016,0.3514014275184275
Arizona,12/2016,0.44526181451612906
California,01/2016,0.41375412223489166
California,02/2016,0.4304104110808806
California,03/2016,0.3204292079433919
California,04/2016,0.27396667197967195
California,05/2016,0.22657299078651685
California,06/2016,0.25330946672936755
California,07/2016,0.2324449400134801
California,08/2016,0.26209745731436196
California,09/2016,0.2982348516129032
California,10/2016,0.3507188845807033
California,11/2016,0.4310116086231539
California,12/2016,0.43978719176843056
Kansas,01/2016,0.31800803225806445
Kansas,02/2016,0.24472087037037035
Kansas,03/2016,0.19299372580645163
Kansas,04/2016,0.17294089999999998
Kansas,05/2016,0.2254457580645161
Kansas,06/2016,0.22113354347826086
Kansas,07/2016,0.20453411290322576
Kansas,08/2016,0.16608895
Kansas,09/2016,0.16705494999999998
Kansas,10/2016,0.18454687096774192
Kansas,11/2016,0.30601246666666665
Kansas,12/2016,0.28273803225806454
North Carolina,01/2016,0.27941882258064515
North Carolina,02/2016,0.24531489655172417
North Carolina,03/2016,0.24011391129032256
North Carolina,04/2016,0.21401499166666668
North Carolina,05/2016,0.21131617741935485
North Carolina,06/2016,0.2065642897196262
North Carolina,07/2016,0.20187488333333334
North Carolina,08/2016,0.18951872033898307
North Carolina,09/2016,0.20055111206896553
North Carolina,10/2016,0.2510717741935484
North Carolina,11/2016,0.36999925
North Carolina,12/2016,0.2947717934782609
South Carolina,01/2016,0.22135564516129036
South Carolina,02/2016,0.1800101724137931
South Carolina,03/2016,0.1807189838709677
South Carolina,04/2016,0.17609833928571428
South Carolina,05/2016,0.1212374107142857
South Carolina,06/2016,0.11695862500000001
South Carolina,07/2016,0.12158467647058822
South Carolina,08/2016,0.11665987096774194
South Carolina,09/2016,0.16528343333333334
South Carolina,10/2016,0.2085455483870968
South Carolina,11/2016,0.27970900000000004
South Carolina,12/2016,0.19338838709677417
