State,Month,no2
Alabama,01/2016,12.640554677419354
Alabama,02/2016,11.764288327586206
Alabama,03/2016,11.542057338709677
Alabama,04/2016,12.343743433333334
Alabama,05/2016,10.140429709677415
Alabama,06/2016,10.431459316666666
Alabama,07/2016,9.6073346
Alabama,08/2016,9.893720981481485
Alabama,09/2016,13.23294325862069
Alabama,10/2016,16.721527894736845
Alabama,11/2016,18.395874966666664
Alabama,12/2016,9.886848919354838
Alaska,01/2016,25.867007999999995
Alaska,02/2016,26.622296206896554
Alaska,03/2016,14.270711193548387
Alaska,04/2016,6.597669
Alaska,05/2016,3.3519040322580635
Alaska,06/2016,2.8345956333333335
Alaska,07/2016,2.0645077499999998
Alaska,08/2016,0.0
Alaska,09/2016,5.942389913043478
Alaska,10/2016,14.621323903225806
Alaska,11/2016,18.19558523333333
Alaska,12/2016,24.739688064516134
Arkansas,01/2016,8.794541596774192
Arkansas,02/2016,8.46077046551724
Arkansas,03/2016,7.126596951612903
Arkansas,04/2016,6.882528533333334
Arkansas,05/2016,6.1015362419354835
Arkansas,06/2016,6.832910799999999
Arkansas,07/2016,5.476954225806452
Arkansas,08/2016,5.403662951612904
Arkansas,09/2016,6.998128583333336
Arkansas,10/2016,9.708157000000002
Arkansas,11/2016,10.953337983050847
Arkansas,12/2016,9.001088951612903
Arizona,01/2016,19.080060592833878
Arizona,02/2016,20.017634087108014
Arizona,03/2016,15.720755867741936
Arizona,04/2016,12.928160613333333
Arizona,05/2016,11.305748029032257
Arizona,06/2016,10.745102303135889
Arizona,07/2016,9.072492831932774
Arizona,08/2016,10.801211048387097
Arizona,09/2016,11.941169774999999
Arizona,10/2016,17.744329008163263
Arizona,11/2016,18.378368297071127
Arizona,12/2016,20.171799411290323
California,01/2016,12.023169084020292
California,02/2016,13.607379617656822
California,03/2016,8.618930824114356
California,04/2016,7.59924322247119
California,05/2016,5.719392962625627
California,06/2016,7.015924695357834
California,07/2016,6.6477814689127115
California,08/2016,7.3454161193251535
California,09/2016,9.34768076278317
California,10/2016,10.955688757015308
California,11/2016,13.40070453934804
California,12/2016,12.751425786195826
Kansas,01/2016,6.895906290322581
Kansas,02/2016,6.4106670857142865
Kansas,03/2016,5.324680584415584
Kansas,04/2016,4.1213717066666655
Kansas,05/2016,4.31032410967742
Kansas,06/2016,4.205656740000001
Kansas,07/2016,3.247169753731343
Kansas,08/2016,2.76146914736842
Kansas,09/2016,3.6468035877862595
Kansas,10/2016,4.328895486666666
Kansas,11/2016,6.277639608108108
Kansas,12/2016,7.283577683870968
North Carolina,01/2016,9.58815262162162
North Carolina,02/2016,7.574675375757576
North Carolina,03/2016,7.441406
North Carolina,04/2016,6.119507822857141
North Carolina,05/2016,5.6290843494623655
North Carolina,06/2016,5.441475165714285
North Carolina,07/2016,4.893314596774194
North Carolina,08/2016,5.011785005376345
North Carolina,09/2016,5.42838536111111
North Carolina,10/2016,7.013486762162163
North Carolina,11/2016,10.33855096111111
North Carolina,12/2016,8.451006387283236
South Carolina,01/2016,7.32792162745098
South Carolina,02/2016,5.44236601851852
South Carolina,03/2016,5.153146311827957
South Carolina,04/2016,5.713948146067415
South Carolina,05/2016,4.2163107735849055
South Carolina,06/2016,4.013438096774194
South Carolina,07/2016,4.204486290322582
South Carolina,08/2016,5.097895724637682
South Carolina,09/2016,4.921569651376146
South Carolina,10/2016,6.436790338709677
South Carolina,11/2016,4.701540030303031
South Carolina,12/2016,5.645313731182796
Colorado,01/2016,19.063082141791043
Colorado,02/2016,13.894533135999998
Colorado,03/2016,11.54706222279793
Colorado,04/2016,9.371156490358128
Colorado,05/2016,8.799154194513715
Colorado,06/2016,9.276379428940569
Colorado,07/2016,9.2418539079602
Colorado,08/2016,10.171727443037975
Colorado,09/2016,10.351729688946014
Colorado,10/2016,12.297558413098237
Colorado,11/2016,15.075925986338797
Colorado,12/2016,16.696792207500003
Connecticut,01/2016,11.335248163934427
Connecticut,02/2016,13.503475894117647
Connecticut,03/2016,11.114447150537634
Connecticut,04/2016,11.128443777777777
Connecticut,05/2016,12.873148865168542
Connecticut,06/2016,10.484633255555556
Connecticut,07/2016,11.19965290322581
Connecticut,08/2016,10.74835206741573
Connecticut,09/2016,9.808142807692308
Connecticut,10/2016,12.68738972043011
Connecticut,11/2016,17.695555555555558
Connecticut,12/2016,18.79048774193548
North Dakota,01/2016,3.5558471541218637
North Dakota,02/2016,2.7934717816091954
North Dakota,03/2016,2.355623032846715
North Dakota,04/2016,1.803470725925926
North Dakota,05/2016,2.7822574548736463
North Dakota,06/2016,2.27431808097166
North Dakota,07/2016,1.863128956521739
North Dakota,08/2016,1.8279389032258064
North Dakota,09/2016,1.7380340083333332
North Dakota,10/2016,2.160375927125506
North Dakota,11/2016,2.5753464875
North Dakota,12/2016,3.1068431133603243
South Dakota,01/2016,5.4763183951612895
South Dakota,02/2016,3.3568175701754384
South Dakota,03/2016,3.219931346774193
South Dakota,04/2016,2.1871691333333336
South Dakota,05/2016,3.5417744311926604
South Dakota,06/2016,3.566342957983194
South Dakota,07/2016,3.0089596178861795
South Dakota,08/2016,2.940410967741936
South Dakota,09/2016,2.7512018333333335
South Dakota,10/2016,3.7708861612903224
South Dakota,11/2016,5.297687412844038
South Dakota,12/2016,4.37333227927928
Delaware,01/2016,18.39935941935484
Delaware,02/2016,16.64632876923077
Delaware,03/2016,8.718303100000002
Delaware,04/2016,9.4267737
Delaware,05/2016,10.119920096774191
Delaware,06/2016,7.270379733333333
Delaware,07/2016,7.020915096774194
Delaware,08/2016,5.830564588235294
Delaware,09/2016,9.864288799999999
Delaware,10/2016,12.233931129032255
Delaware,11/2016,18.30404531034483
Delaware,12/2016,14.365186999999999
Florida,01/2016,7.7723251399999995
Florida,02/2016,7.4594718327402125
Florida,03/2016,6.616911519607842
Florida,04/2016,5.561481869281046
Florida,05/2016,5.642627858520901
Florida,06/2016,5.2472808674033145
