State,Month,temp
Alabama,01/2016,43.63327704054054
Alabama,02/2016,50.15955460344828
Alabama,03/2016,61.43870367777778
Alabama,04/2016,65.65028617777779
Alabama,05/2016,72.07146444086023
Alabama,06/2016,79.95999389772727
Alabama,07/2016,81.91040167777777
Alabama,08/2016,81.46871002222223
Alabama,09/2016,79.23663578888889
Alabama,10/2016,70.40003751351352
Alabama,11/2016,60.075007104477606
Alabama,12/2016,49.883689790322585
Alaska,01/2016,17.211021483870965
Alaska,02/2016,22.887931034482754
Alaska,03/2016,21.13880741935484
Alaska,04/2016,38.1573233
Alaska,05/2016,46.125537645161295
Alaska,06/2016,53.37638893333334
Alaska,07/2016,55.83450212903226
Alaska,08/2016,53.82250096774194
Alaska,09/2016,42.220591733333336
Alaska,10/2016,28.186828000000002
Alaska,11/2016,12.445833433333332
Alaska,12/2016,4.065860290322581
Arkansas,01/2016,43.00806458064516
Arkansas,02/2016,50.089080482758625
Arkansas,03/2016,55.564516129032256
Arkansas,04/2016,60.5472223
Arkansas,05/2016,63.69220422580646
Arkansas,06/2016,78.33611113333333
Arkansas,07/2016,78.96102148387097
Arkansas,08/2016,80.60873013333334
Arkansas,09/2016,80.2
Arkansas,10/2016,71.42876345161291
Arkansas,11/2016,58.91111106666667
Arkansas,12/2016,46.20564512903226
Arizona,01/2016,48.663458397177415
Arizona,02/2016,57.70521557112069
Arizona,03/2016,62.231844223790326
Arizona,04/2016,65.46947711190477
Arizona,05/2016,72.79178048617511
Arizona,06/2016,86.28974107619047
Arizona,07/2016,87.54255546403712
Arizona,08/2016,81.77688841339491
Arizona,09/2016,76.94732243333334
Arizona,10/2016,73.51481050604839
Arizona,11/2016,60.46421345625
Arizona,12/2016,52.022957381048386
California,01/2016,50.302318127264385
California,02/2016,57.1634716241644
California,03/2016,57.70649689286528
California,04/2016,61.90784065785878
California,05/2016,64.4779741004292
California,06/2016,74.38308951139295
California,07/2016,76.6944553448835
California,08/2016,75.30122686338798
California,09/2016,71.26690996702375
California,10/2016,64.22015012713241
California,11/2016,57.275058866814156
California,12/2016,48.95136061152615
Kansas,01/2016,35.34274196774193
Kansas,02/2016,45.23681910344827
Kansas,03/2016,56.399719580645154
Kansas,04/2016,63.391666666666666
Kansas,05/2016,68.24012383870968
Kansas,06/2016,85.11382846666666
Kansas,07/2016,85.2446236451613
Kansas,08/2016,82.75537638709677
Kansas,09/2016,74.28724749999999
Kansas,10/2016,64.30376338709677
Kansas,11/2016,53.59166666666667
Kansas,12/2016,33.79166658064516
North Carolina,01/2016,37.598383928315414
North Carolina,02/2016,42.78362664940239
North Carolina,03/2016,56.72859262724014
North Carolina,04/2016,60.158635277777776
North Carolina,05/2016,65.91491914695341
North Carolina,06/2016,75.62443796511629
North Carolina,07/2016,79.44744000716847
North Carolina,08/2016,78.60170249462367
North Carolina,09/2016,73.63319637827715
North Carolina,10/2016,61.78068423371647
North Carolina,11/2016,49.89218062222223
North Carolina,12/2016,42.83089872761194
South Carolina,01/2016,43.17069883870968
South Carolina,02/2016,48.208949034482764
South Carolina,03/2016,61.96236561290321
South Carolina,04/2016,65.32572225581394
South Carolina,05/2016,69.07818327419355
South Carolina,06/2016,79.16847218333334
South Carolina,07/2016,82.36458337096775
South Carolina,08/2016,80.89089543333331
South Carolina,09/2016,76.15845245
South Carolina,10/2016,66.39784948387098
South Carolina,11/2016,55.381388900000005
South Carolina,12/2016,48.23104838709678
Colorado,01/2016,27.681727509677422
Colorado,02/2016,34.99740354861111
Colorado,03/2016,40.45801967519685
Colorado,04/2016,46.34288345252526
Colorado,05/2016,53.5735883467189
Colorado,06/2016,70.29923717969542
Colorado,07/2016,72.96600274702381
Colorado,08/2016,67.4426091408867
Colorado,09/2016,62.313523817288804
Colorado,10/2016,54.65269547851003
Colorado,11/2016,42.523001046214354
Colorado,12/2016,28.13641438342967
Connecticut,01/2016,32.706333497685186
Connecticut,02/2016,34.496311737789206
Connecticut,03/2016,44.25656180851063
Connecticut,04/2016,48.41220691794872
Connecticut,05/2016,58.92080624378109
Connecticut,06/2016,67.9418191
Connecticut,07/2016,75.10779514108911
Connecticut,08/2016,75.5571994907834
Connecticut,09/2016,67.73313872857143
Connecticut,10/2016,55.24761325603865
Connecticut,11/2016,46.14374659895833
Connecticut,12/2016,35.93157839047619
North Dakota,01/2016,17.4604930471464
North Dakota,02/2016,28.13550048522167
North Dakota,03/2016,37.080254269585254
North Dakota,04/2016,43.20030623333333
North Dakota,05/2016,57.18945279907621
North Dakota,06/2016,66.47449017557251
North Dakota,07/2016,70.01734428831169
North Dakota,08/2016,68.91276117617865
North Dakota,09/2016,58.72828956410256
North Dakota,10/2016,46.187232528535986
North Dakota,11/2016,39.77590702879581
North Dakota,12/2016,11.774591228643214
South Dakota,01/2016,27.530017913978494
South Dakota,02/2016,38.49206346031746
South Dakota,03/2016,47.10633916393442
South Dakota,04/2016,50.09083332
South Dakota,05/2016,56.26209674193549
South Dakota,06/2016,73.4483696
South Dakota,07/2016,74.54545711627907
South Dakota,08/2016,72.50466477419353
South Dakota,09/2016,65.8675926111111
South Dakota,10/2016,56.03556240217391
South Dakota,11/2016,45.732545
South Dakota,12/2016,22.532258053763442
Delaware,01/2016,34.14516129032259
Delaware,02/2016,38.060344793103454
Delaware,03/2016,50.02260506451613
Delaware,04/2016,53.77916666666667
Delaware,05/2016,62.30510754838709
Delaware,06/2016,73.26662346666667
Delaware,07/2016,79.56989251612903
Delaware,08/2016,79.91532251612902
Delaware,09/2016,72.83055563333332
Delaware,10/2016,60.04838706451613
Delaware,11/2016,49.9800505
Delaware,12/2016,38.98527341935484
Florida,01/2016,58.187302366666664
Florida,02/2016,60.47027380172414
Florida,03/2016,69.30947583870969
Florida,04/2016,72.31246871551726
Florida,05/2016,76.56720431451612
Florida,06/2016,81.34171195
