State,Month,pm10
Alabama,01/2016,11.58433734939759
Alabama,02/2016,12.88961038961039
Alabama,03/2016,15.903846153846153
Alabama,04/2016,19.265625
Alabama,05/2016,19.904040404040405
Alabama,06/2016,20.875647668393782
Alabama,07/2016,18.683673469387756
Alabama,08/2016,17.281407035175878
Alabama,09/2016,19.782828282828284
Alabama,10/2016,22.17616580310881
Alabama,11/2016,23.43888888888889
Alabama,12/2016,12.261627906976743
Alaska,01/2016,14.537688442211055
Alaska,02/2016,17.915730337078653
Alaska,03/2016,27.48587570621469
Alaska,04/2016,28.607142857142858
Alaska,05/2016,14.933333333333334
Alaska,06/2016,10.201005025125628
Alaska,07/2016,9.484848484848484
Alaska,08/2016,10.512562814070352
Alaska,09/2016,11.947976878612717
Alaska,10/2016,28.67
Alaska,11/2016,25.908602150537636
Alaska,12/2016,16.142857142857142
Arkansas,01/2016,14.15
Arkansas,02/2016,16.266666666666666
Arkansas,03/2016,12.3
Arkansas,04/2016,15.88888888888889
Arkansas,05/2016,14.2
Arkansas,06/2016,20.944444444444443
Arkansas,07/2016,27.058823529411764
Arkansas,08/2016,17.0
Arkansas,09/2016,18.764705882352942
Arkansas,10/2016,23.941176470588236
Arkansas,11/2016,20.352941176470587
Arkansas,12/2016,16.5
Arizona,01/2016,23.2488860598345
Arizona,02/2016,30.0999306037474
Arizona,03/2016,39.23101467772814
Arizona,04/2016,32.3933110367893
Arizona,05/2016,29.66919671094244
Arizona,06/2016,39.19069767441861
Arizona,07/2016,37.2128356254093
Arizona,08/2016,26.97304768486524
Arizona,09/2016,30.637474541751526
Arizona,10/2016,33.91324503311258
Arizona,11/2016,27.769985974754558
Arizona,12/2016,28.092931937172775
California,01/2016,15.8
California,02/2016,20.376794258373206
California,03/2016,23.723651744800847
California,04/2016,23.673147468818783
California,05/2016,24.3659248449471
California,06/2016,30.228208005985785
California,07/2016,32.415617128463474
California,08/2016,33.009272467902996
California,09/2016,36.010093457943924
California,10/2016,31.436551979282278
California,11/2016,25.871834228702994
California,12/2016,20.841610233258088
Kansas,01/2016,11.808290155440414
Kansas,02/2016,19.73076923076923
Kansas,03/2016,20.661616161616163
Kansas,04/2016,18.040485829959515
Kansas,05/2016,15.484496124031008
Kansas,06/2016,22.948616600790515
Kansas,07/2016,23.14503816793893
Kansas,08/2016,18.401574803149607
Kansas,09/2016,17.905511811023622
Kansas,10/2016,22.68548387096774
Kansas,11/2016,21.70731707317073
Kansas,12/2016,14.806949806949808
North Carolina,01/2016,7.949720670391062
North Carolina,02/2016,7.861111111111111
North Carolina,03/2016,13.457013574660634
North Carolina,04/2016,12.945701357466064
North Carolina,05/2016,11.495535714285714
North Carolina,06/2016,13.807174887892376
North Carolina,07/2016,13.610328638497652
North Carolina,08/2016,11.4375
North Carolina,09/2016,11.720833333333333
North Carolina,10/2016,11.92430278884462
North Carolina,11/2016,16.212
North Carolina,12/2016,9.884169884169884
South Carolina,01/2016,10.393939393939394
South Carolina,02/2016,11.94890510948905
South Carolina,03/2016,17.470588235294116
South Carolina,04/2016,15.55
South Carolina,05/2016,14.709923664122137
South Carolina,06/2016,17.091549295774648
South Carolina,07/2016,17.154411764705884
South Carolina,08/2016,14.748427672955975
South Carolina,09/2016,14.38888888888889
South Carolina,10/2016,17.066037735849058
South Carolina,11/2016,23.738095238095237
South Carolina,12/2016,11.54861111111111
Colorado,01/2016,16.172916666666666
Colorado,02/2016,21.038277511961724
Colorado,03/2016,21.44708423326134
Colorado,04/2016,14.784140969162996
Colorado,05/2016,15.141327623126339
Colorado,06/2016,22.932059447983015
Colorado,07/2016,22.956340956340956
Colorado,08/2016,17.68958742632613
Colorado,09/2016,18.841237113402062
Colorado,10/2016,21.58835341365462
Colorado,11/2016,19.70281124497992
Colorado,12/2016,15.912065439672801
Connecticut,01/2016,12.25438596491228
Connecticut,02/2016,10.916666666666666
Connecticut,03/2016,11.393939393939394
Connecticut,04/2016,9.617391304347827
Connecticut,05/2016,12.674796747967479
Connecticut,06/2016,14.727272727272727
Connecticut,07/2016,12.757009345794392
Connecticut,08/2016,12.926829268292684
Connecticut,09/2016,11.456140350877194
Connecticut,10/2016,11.884297520661157
Connecticut,11/2016,11.457627118644067
Connecticut,12/2016,11.204918032786885
North Dakota,01/2016,6.397111913357401
North Dakota,02/2016,7.012244897959183
North Dakota,03/2016,8.209386281588447
North Dakota,04/2016,9.818181818181818
North Dakota,05/2016,18.240143369175627
North Dakota,06/2016,11.594262295081966
North Dakota,07/2016,10.834615384615384
North Dakota,08/2016,14.444444444444445
North Dakota,09/2016,11.141221374045802
North Dakota,10/2016,10.833935018050541
North Dakota,11/2016,11.152985074626866
North Dakota,12/2016,6.785185185185185
South Dakota,01/2016,11.842911877394636
South Dakota,02/2016,12.67219917012448
South Dakota,03/2016,14.172932330827068
South Dakota,04/2016,15.093023255813954
South Dakota,05/2016,19.507874015748033
South Dakota,06/2016,22.076305220883533
South Dakota,07/2016,17.245283018867923
South Dakota,08/2016,17.671814671814673
South Dakota,09/2016,16.958333333333332
South Dakota,10/2016,19.77872340425532
South Dakota,11/2016,20.176470588235293
South Dakota,12/2016,13.263157894736842
Delaware,01/2016,0.0
Delaware,02/2016,0.0
Delaware,03/2016,0.0
Delaware,04/2016,0.0
Delaware,05/2016,0.0
Delaware,06/2016,0.0
Delaware,07/2016,0.0
Delaware,08/2016,0.0
Delaware,09/2016,0.0
Delaware,10/2016,0.0
Delaware,11/2016,0.0
Delaware,12/2016,0.0
Florida,01/2016,12.684444444444445
Florida,02/2016,15.29426433915212
Florida,03/2016,18.186147186147185
Florida,04/2016,18.759213759213758
Florida,05/2016,15.472035794183444
Florida,06/2016,15.142201834862385
Florida,07/2016,18.10091743119266
Florida,08/2016,15.374439461883409
Florida,09/2016,13.47716894977169
Florida,10/2016,18.44102564102564
Florida,11/2016,20.766509433962263
Florida,12/2016,13.952069716775599
Georgia,01/2016,10.571428571428571
Georgia,02/2016,10.852941176470589
Georgia,03/2016,16.822222222222223
Georgia,04/2016,15.651162790697674
Georgia,05/2016,17.441860465116278
Georgia,06/2016,18.88372093023256
Georgia,07/2016,18.976744186046513
Georgia,08/2016,17.65909090909091
Georgia,09/2016,18.69047619047619
Georgia,10/2016,17.488372093023255
Georgia,11/2016,21.023809523809526
Georgia,12/2016,12.113636363636363
Hawaii,01/2016,17.744444444444444
Hawaii,02/2016,16.75294117647059
Hawaii,03/2016,21.51219512195122
Hawaii,04/2016,15.651162790697674
Hawaii,05/2016,12.03225806451613
Hawaii,06/2016,11.535714285714286
Hawaii,07/2016,12.45054945054945
Hawaii,08/2016,11.010752688172044
Hawaii,09/2016,12.166666666666666
Hawaii,10/2016,18.817204301075268
Hawaii,11/2016,20.46511627906977
Hawaii,12/2016,18.0
Idaho,01/2016,12.653846153846153
Idaho,02/2016,16.344827586206897
Idaho,03/2016,10.562162162162162
Idaho,04/2016,14.319767441860465
Idaho,05/2016,12.912568306010929
Idaho,06/2016,19.747191011235955
Idaho,07/2016,21.13978494623656
Idaho,08/2016,32.87027027027027
Idaho,09/2016,19.105555555555554
Idaho,10/2016,14.528409090909092
Idaho,11/2016,13.194444444444445
Idaho,12/2016,11.474860335195531
Rhode Island,01/2016,14.5
Rhode Island,02/2016,9.555555555555555
Rhode Island,03/2016,12.142857142857142
Rhode Island,04/2016,13.090909090909092
Rhode Island,05/2016,11.590909090909092
Rhode Island,06/2016,12.92
Rhode Island,07/2016,14.12
Rhode Island,08/2016,10.08
Rhode Island,09/2016,11.583333333333334
Rhode Island,10/2016,8.15
Rhode Island,11/2016,9.736842105263158
Rhode Island,12/2016,10.944444444444445
Illinois,01/2016,18.166666666666668
Illinois,02/2016,19.304347826086957
Illinois,03/2016,19.653333333333332
Illinois,04/2016,22.75
Illinois,05/2016,24.029850746268657
Illinois,06/2016,28.78048780487805
Illinois,07/2016,26.875
Illinois,08/2016,22.4025974025974
Illinois,09/2016,23.08
Illinois,10/2016,19.064935064935064
Illinois,11/2016,19.936507936507937
Illinois,12/2016,15.27027027027027
Indiana,01/2016,13.994444444444444
Indiana,02/2016,17.741935483870968
Indiana,03/2016,13.061111111111112
Indiana,04/2016,19.78181818181818
Indiana,05/2016,19.623456790123456
Indiana,06/2016,22.84375
Indiana,07/2016,20.929411764705883
Indiana,08/2016,19.0
Indiana,09/2016,22.091463414634145
Indiana,10/2016,17.622754491017965
Indiana,11/2016,23.898203592814372
Indiana,12/2016,13.04635761589404
Iowa,01/2016,17.33219178082192
Iowa,02/2016,18.59349593495935
Iowa,03/2016,19.3
Iowa,04/2016,23.715254237288136
Iowa,05/2016,24.59
Iowa,06/2016,27.81045751633987
Iowa,07/2016,21.359322033898305
Iowa,08/2016,24.323809523809523
Iowa,09/2016,25.32323232323232
Iowa,10/2016,25.972318339100347
Iowa,11/2016,27.527397260273972
Iowa,12/2016,15.776173285198556
Kentucky,01/2016,10.742574257425742
Kentucky,02/2016,12.289473684210526
Kentucky,03/2016,13.58
Kentucky,04/2016,15.22972972972973
Kentucky,05/2016,14.53763440860215
Kentucky,06/2016,18.066666666666666
Kentucky,07/2016,14.55421686746988
Kentucky,08/2016,15.208333333333334
Kentucky,09/2016,18.881720430107528
Kentucky,10/2016,18.729166666666668
Kentucky,11/2016,19.759036144578314
Kentucky,12/2016,12.648936170212766
Louisiana,01/2016,14.542635658914728
Louisiana,02/2016,18.328358208955223
Louisiana,03/2016,19.169934640522875
Louisiana,04/2016,18.74496644295302
Louisiana,05/2016,18.89677419354839
Louisiana,06/2016,20.027397260273972
Louisiana,07/2016,20.778523489932887
Louisiana,08/2016,16.887417218543046
Louisiana,09/2016,17.74
Louisiana,10/2016,21.7027027027027
Louisiana,11/2016,20.46527777777778
Louisiana,12/2016,14.238095238095237
Maine,01/2016,16.095890410958905
Maine,02/2016,13.983050847457626
Maine,03/2016,12.67605633802817
Maine,04/2016,14.830769230769231
Maine,05/2016,10.158730158730158
Maine,06/2016,9.696969696969697
Maine,07/2016,10.492753623188406
Maine,08/2016,10.82089552238806
Maine,09/2016,9.537313432835822
Maine,10/2016,8.417910447761194
Maine,11/2016,12.608108108108109
Maine,12/2016,11.493150684931507
Maryland,01/2016,13.909090909090908
Maryland,02/2016,9.695652173913043
Maryland,03/2016,13.46875
Maryland,04/2016,11.5
Maryland,05/2016,10.961538461538462
Maryland,06/2016,11.791666666666666
Maryland,07/2016,14.44
Maryland,08/2016,13.73076923076923
Maryland,09/2016,14.208333333333334
Maryland,10/2016,10.291666666666666
Maryland,11/2016,12.818181818181818
Maryland,12/2016,11.333333333333334
Massachusetts,01/2016,14.933333333333334
Massachusetts,02/2016,9.0
Massachusetts,03/2016,13.444444444444445
Massachusetts,04/2016,12.75
Massachusetts,05/2016,11.257142857142858
Massachusetts,06/2016,12.08108108108108
Massachusetts,07/2016,12.428571428571429
Massachusetts,08/2016,12.0
Massachusetts,09/2016,9.447368421052632
Massachusetts,10/2016,10.105263157894736
Massachusetts,11/2016,12.552631578947368
Massachusetts,12/2016,12.333333333333334
Michigan,01/2016,19.64804469273743
Michigan,02/2016,22.22222222222222
Michigan,03/2016,18.98870056497175
Michigan,04/2016,21.414201183431953
Michigan,05/2016,28.634285714285713
Michigan,06/2016,30.632530120481928
Michigan,07/2016,21.34065934065934
Michigan,08/2016,19.97252747252747
Michigan,09/2016,19.084745762711865
Michigan,10/2016,16.3855421686747
Michigan,11/2016,22.642045454545453
Michigan,12/2016,16.606451612903225
Minnesota,01/2016,16.53183520599251
Minnesota,02/2016,17.139737991266376
Minnesota,03/2016,17.209558823529413
Minnesota,04/2016,18.09426229508197
Minnesota,05/2016,29.664150943396226
Minnesota,06/2016,24.404761904761905
Minnesota,07/2016,20.34469696969697
Minnesota,08/2016,22.387351778656125
Minnesota,09/2016,18.453441295546558
Minnesota,10/2016,22.197674418604652
Minnesota,11/2016,21.83794466403162
Minnesota,12/2016,13.365384615384615
Mississippi,01/2016,15.636363636363637
Mississippi,02/2016,15.11111111111111
Mississippi,03/2016,12.333333333333334
Mississippi,04/2016,14.7
Mississippi,05/2016,18.375
Mississippi,06/2016,20.555555555555557
Mississippi,07/2016,23.9
Mississippi,08/2016,15.4
Mississippi,09/2016,16.333333333333332
Mississippi,10/2016,23.6
Mississippi,11/2016,19.0
Mississippi,12/2016,13.333333333333334
Missouri,01/2016,13.192
