State,Month,so2
Alabama,01/2015,2.03278019047619
Alabama,02/2015,1.5250751964285716
Alabama,03/2015,0.9954782457627117
Alabama,04/2015,0.6714046083333334
Alabama,05/2015,1.455473137096774
Alabama,06/2015,1.0995286833333333
Alabama,07/2015,0.9165599274193549
Alabama,08/2015,0.9205553225806452
Alabama,09/2015,0.944429225
Alabama,10/2015,0.8082106864406781
Alabama,11/2015,0.8508284
Alabama,12/2015,0.764805370967742
Alaska,01/2015,13.675575129032257
Alaska,02/2015,14.042035499999999
Alaska,03/2015,6.620712194444444
Alaska,04/2015,5.3708676896551735
Alaska,05/2015,6.552300629032258
Alaska,06/2015,1.9119089
Alaska,07/2015,3.516665887096774
Alaska,08/2015,2.8906847096774198
Alaska,09/2015,2.438629413793104
Alaska,10/2015,4.073119580645161
Alaska,11/2015,8.22953955
Alaska,12/2015,11.221177741935485
Arkansas,01/2015,1.2815931854838707
Arkansas,02/2015,1.4806771428571428
Arkansas,03/2015,1.3897104274193546
Arkansas,04/2015,1.235093116666667
Arkansas,05/2015,1.317784080645161
Arkansas,06/2015,1.496915
Arkansas,07/2015,1.3128309919354837
Arkansas,08/2015,1.6493284919354843
Arkansas,09/2015,2.6722749416666667
Arkansas,10/2015,1.2284927661290321
Arkansas,11/2015,1.4573488916666666
Arkansas,12/2015,1.8013367500000002
Arizona,01/2015,2.3009870358422937
Arizona,02/2015,3.225748609561753
Arizona,03/2015,4.5313697885304665
Arizona,04/2015,2.3154688
Arizona,05/2015,2.264312452898551
Arizona,06/2015,2.384241983333333
Arizona,07/2015,2.032920087912088
Arizona,08/2015,3.689680121863799
Arizona,09/2015,2.3633918166666668
Arizona,10/2015,2.2876435919117646
Arizona,11/2015,2.304137205660377
Arizona,12/2015,2.313337511029412
California,01/2015,0.6093835749347258
California,02/2015,0.45622898611111107
California,03/2015,0.459265051228437
California,04/2015,0.4533356373626374
California,05/2015,0.3496376983606557
California,06/2015,0.441503159167604
California,07/2015,0.41009304879385966
California,08/2015,0.3764407235729387
California,09/2015,0.47435273124300115
California,10/2015,0.42320031229773464
California,11/2015,0.5054755840517242
California,12/2015,0.5827782431865829
Kansas,01/2015,1.3836792822580646
Kansas,02/2015,2.098276107142857
Kansas,03/2015,1.7553673659574467
Kansas,04/2015,2.0120205675675678
Kansas,05/2015,1.0971289234234234
Kansas,06/2015,0.9563393416666666
Kansas,07/2015,0.9139990322580646
Kansas,08/2015,1.503174064516129
Kansas,09/2015,0.7233658894230769
Kansas,10/2015,0.8273289475806452
Kansas,11/2015,0.4846316891891892
Kansas,12/2015,0.791764310483871
North Carolina,01/2015,0.7690174120234604
North Carolina,02/2015,0.9868875827814569
North Carolina,03/2015,0.4327594121996304
North Carolina,04/2015,0.04772379074074075
North Carolina,05/2015,0.020015301666666676
North Carolina,06/2015,0.18525878103448273
North Carolina,07/2015,0.4246248878504673
North Carolina,08/2015,0.30265622040816326
North Carolina,09/2015,0.10023631789473686
North Carolina,10/2015,0.29946703761061944
North Carolina,11/2015,0.4022882901878914
North Carolina,12/2015,0.3838004837398374
South Carolina,01/2015,0.4582165442477876
South Carolina,02/2015,0.5517901414141414
South Carolina,03/2015,0.3388052887828162
South Carolina,04/2015,0.21523114720812184
South Carolina,05/2015,0.17727760416666666
South Carolina,06/2015,0.2989429069148936
South Carolina,07/2015,0.23477133080808082
South Carolina,08/2015,0.18038681621621622
South Carolina,09/2015,0.19404692993630573
South Carolina,10/2015,0.18494006666666665
South Carolina,11/2015,0.18099319687499998
South Carolina,12/2015,0.2277182966666667
Colorado,01/2015,1.4753675362903227
Colorado,02/2015,1.425864945
Colorado,03/2015,1.5935830368852457
Colorado,04/2015,1.344460349557522
Colorado,05/2015,1.5936413571428572
Colorado,06/2015,1.6908667041666665
Colorado,07/2015,1.3091463588709678
Colorado,08/2015,1.4060017701612904
Colorado,09/2015,1.5493053375
Colorado,10/2015,1.514803064516129
Colorado,11/2015,1.6770817966101697
Colorado,12/2015,1.684959875
Connecticut,01/2015,0.9846401532258066
Connecticut,02/2015,1.092970263392857
Connecticut,03/2015,0.5826126935483872
Connecticut,04/2015,0.26099706250000004
Connecticut,05/2015,0.22571575
Connecticut,06/2015,0.12667322499999997
Connecticut,07/2015,0.18775260887096773
Connecticut,08/2015,0.22262614112903223
Connecticut,09/2015,0.2295805375
Connecticut,10/2015,0.2581192862903226
Connecticut,11/2015,0.4376370208333333
Connecticut,12/2015,0.3807037096774193
North Dakota,01/2015,1.144643497081712
North Dakota,02/2015,1.1192249796137341
North Dakota,03/2015,0.7244435337837838
North Dakota,04/2015,0.6392186843137255
North Dakota,05/2015,0.5279956574952562
North Dakota,06/2015,0.6155104147058824
North Dakota,07/2015,0.5704539281553398
North Dakota,08/2015,0.7464286857142857
North Dakota,09/2015,0.5911244931372549
North Dakota,10/2015,0.6037890214007782
North Dakota,11/2015,0.6069905235294117
North Dakota,12/2015,0.7645781682600383
South Dakota,01/2015,0.8973555927419353
South Dakota,02/2015,1.1890307723214286
South Dakota,03/2015,1.2317333508064516
South Dakota,04/2015,1.294064004273504
South Dakota,05/2015,1.1275261693548388
South Dakota,06/2015,1.14763165
South Dakota,07/2015,0.5942825080645161
South Dakota,08/2015,0.15178177419354838
South Dakota,09/2015,0.19339952083333334
South Dakota,10/2015,0.25964058870967743
South Dakota,11/2015,0.2180247631578947
South Dakota,12/2015,0.2930765942622951
Delaware,01/2015,0.9460406290322579
Delaware,02/2015,1.2893829191176471
Delaware,03/2015,0.49977624666666676
Delaware,04/2015,0.4212603869863013
Delaware,05/2015,0.3227701937716263
Delaware,06/2015,0.17287046581196583
Delaware,07/2015,0.1782389934640523
Delaware,08/2015,0.2742396774193548
Delaware,09/2015,0.27026283458646616
Delaware,10/2015,0.13600791221374045
Delaware,11/2015,0.2732382765957447
Delaware,12/2015,0.3823319322580645
Florida,01/2015,0.8000871320754717
Florida,02/2015,0.8414831611111111
Florida,03/2015,0.6414537822185972
Florida,04/2015,0.685832564236111
Florida,05/2015,0.8139068795681063
Florida,06/2015,0.6905697195020746
Florida,07/2015,0.5340898788819876
Florida,08/2015,0.5711307591125199
Florida,09/2015,0.6190502257551669
Florida,10/2015,0.757196177419355
Florida,11/2015,0.47123393801652885
Florida,12/2015,0.4665812457231726
Georgia,01/2015,1.3812495783410137
Georgia,02/2015,1.4257224795918366
Georgia,03/2015,1.3640764400921659
Georgia,04/2015,1.2791942047619047
Georgia,05/2015,1.1847381520737326
Georgia,06/2015,0.9524657638190954
Georgia,07/2015,0.8549269873737375
Georgia,08/2015,1.1856771179245282
Georgia,09/2015,1.2190540642857142
Georgia,10/2015,1.1873282488479264
Georgia,11/2015,1.2021698238095238
Georgia,12/2015,1.327401665060241
Hawaii,01/2015,16.563019140350875
Hawaii,02/2015,12.36044944027778
Hawaii,03/2015,7.309619001246882
Hawaii,04/2015,5.9889952797927455
Hawaii,05/2015,5.650398266242038
Hawaii,06/2015,5.026815493723849
Hawaii,07/2015,6.314144251738527
Hawaii,08/2015,7.13402408560794
Hawaii,09/2015,7.887227872395833
Hawaii,10/2015,7.781140388888889
Hawaii,11/2015,7.276790388324872
Hawaii,12/2015,8.999597464155528
Idaho,01/2015,1.021026688172043
Idaho,02/2015,1.7466282023809523
Idaho,03/2015,1.9607202150537635
Idaho,04/2015,1.699038688888889
Idaho,05/2015,0.8483698655913978
Idaho,06/2015,1.057077927777778
Idaho,07/2015,1.7492929775280899
Idaho,08/2015,1.5877076043956044
Idaho,09/2015,2.230356638888889
Idaho,10/2015,1.9704944010989007
Idaho,11/2015,1.6009886666666666
Idaho,12/2015,1.1693849516129031
Rhode Island,01/2015,0.8400163709677421
Rhode Island,02/2015,1.1736052589285715
Rhode Island,03/2015,0.5305287096774193
Rhode Island,04/2015,0.170001
Rhode Island,05/2015,0.10070996774193548
Rhode Island,06/2015,0.11564367499999999
Rhode Island,07/2015,0.14551208870967744
Rhode Island,08/2015,0.1440409435483871
Rhode Island,09/2015,0.17216564166666667
Rhode Island,10/2015,0.22413861290322581
Rhode Island,11/2015,0.30010220000000004
Rhode Island,12/2015,0.27731636290322587
Illinois,01/2015,1.3102265118764846
Illinois,02/2015,1.2462732270408166
Illinois,03/2015,1.2029444048140043
Illinois,04/2015,1.2067527995545657
Illinois,05/2015,1.3697574104803494
Illinois,06/2015,1.2744498758782201
Illinois,07/2015,1.1578955282608696
Illinois,08/2015,1.3832530412946429
Illinois,09/2015,1.5023551492027334
Illinois,10/2015,1.2910437065803668
Illinois,11/2015,1.1665405922551253
Illinois,12/2015,1.1303554408482144
Indiana,01/2015,2.3994100322580643
Indiana,02/2015,2.8045038028301885
Indiana,03/2015,2.4609434335604767
Indiana,04/2015,1.8781893511029413
Indiana,05/2015,1.8252742093425602
Indiana,06/2015,1.359578085106383
Indiana,07/2015,1.19200965276664
Indiana,08/2015,1.4783729144079885
Indiana,09/2015,1.6638837787481806
Indiana,10/2015,1.9729410530085958
Indiana,11/2015,1.8769952343976777
Indiana,12/2015,1.757471071729958
Iowa,01/2015,0.7998266467741936
Iowa,02/2015,0.955978394642857
Iowa,03/2015,1.2634143532258064
Iowa,04/2015,1.4259145583333332
Iowa,05/2015,1.4078526387096773
Iowa,06/2015,0.9483662016666666
Iowa,07/2015,0.7598414341463414
Iowa,08/2015,0.6740690225806452
Iowa,09/2015,1.37519341
Iowa,10/2015,0.6115561806451613
Iowa,11/2015,0.9437639173693086
Iowa,12/2015,0.6243992241935484
Kentucky,01/2015,1.2112757576601672
Kentucky,02/2015,1.2860790245398772
Kentucky,03/2015,0.916975641509434
Kentucky,04/2015,0.52655395371669
Kentucky,05/2015,0.5114077472826086
Kentucky,06/2015,0.40083859583333337
Kentucky,07/2015,0.37170944289693597
Kentucky,08/2015,0.3355954711388455
Kentucky,09/2015,0.5140507920353982
Kentucky,10/2015,0.5689356549865229
Kentucky,11/2015,0.4872015196078431
Kentucky,12/2015,0.373314245967742
Louisiana,01/2015,1.7998241612903225
Louisiana,02/2015,2.2804102916666666
Louisiana,03/2015,1.2397477419354839
Louisiana,04/2015,1.151023601719198
Louisiana,05/2015,1.059341408719346
Louisiana,06/2015,1.2141167666666668
Louisiana,07/2015,0.5771677473118279
Louisiana,08/2015,1.2854786048387097
Louisiana,09/2015,1.9403153305555554
Louisiana,10/2015,1.9508848664772727
Louisiana,11/2015,1.41030105
Louisiana,12/2015,1.566202317204301
Maine,01/2015,1.2762111666666667
Maine,02/2015,1.5027146636904762
Maine,03/2015,0.7877957677419355
Maine,04/2015,0.40693163666666665
Maine,05/2015,0.3402883903225806
Maine,06/2015,0.42980345416666665
Maine,07/2015,0.5995357741935483
Maine,08/2015,0.4615997887931034
Maine,09/2015,0.41218859583333334
Maine,10/2015,0.2737477191489362
Maine,11/2015,0.027387373949579855
Maine,12/2015,0.19187444166666665
Maryland,01/2015,1.4689458548387095
Maryland,02/2015,1.978633554716981
Maryland,03/2015,1.1268017709677418
Maryland,04/2015,0.7983638085106383
Maryland,05/2015,0.7299320035971223
Maryland,06/2015,0.5398254982698962
Maryland,07/2015,0.7524394640522876
Maryland,08/2015,0.5987499372937293
Maryland,09/2015,0.6552143129251702
Maryland,10/2015,0.538314964516129
Maryland,11/2015,0.79367143772242
Maryland,12/2015,0.6176291019736841
Massachusetts,01/2015,1.195661120879121
Massachusetts,02/2015,1.141945151234568
Massachusetts,03/2015,0.7579915860215054
Massachusetts,04/2015,0.6106786333333334
Massachusetts,05/2015,0.5810215161290322
Massachusetts,06/2015,0.4930204277777778
