State,Month,pressure
Alabama,01/2015,999.882594048387
Alabama,02/2015,997.6153698928572
Alabama,03/2015,997.9767472580644
Alabama,04/2015,993.6078472166666
Alabama,05/2015,998.5803090967743
Alabama,06/2015,995.3770580833333
Alabama,07/2015,994.8684139838708
Alabama,08/2015,994.5744623870969
Alabama,09/2015,994.9793623500001
Alabama,10/2015,995.2372311612903
Alabama,11/2015,998.64458335
Alabama,12/2015,996.3854166290322
Alaska,01/2015,750.50060756
Alaska,02/2015,751.4936416785714
Alaska,03/2015,745.565275870968
Alaska,04/2015,739.8922978666667
Alaska,05/2015,748.6634526129031
Alaska,06/2015,746.6569444666668
Alaska,07/2015,745.3692145806452
Alaska,08/2015,746.8420223214287
Alaska,09/2015,742.2297222333333
Alaska,10/2015,0.0
Alaska,11/2015,0.0
Alaska,12/2015,0.0
Arkansas,01/2015,0.0
Arkansas,02/2015,0.0
Arkansas,03/2015,0.0
Arkansas,04/2015,0.0
Arkansas,05/2015,0.0
Arkansas,06/2015,0.0
Arkansas,07/2015,0.0
Arkansas,08/2015,0.0
Arkansas,09/2015,0.0
Arkansas,10/2015,0.0
Arkansas,11/2015,0.0
Arkansas,12/2015,0.0
Arizona,01/2015,0.0
Arizona,02/2015,0.0
Arizona,03/2015,0.0
Arizona,04/2015,0.0
Arizona,05/2015,0.0
Arizona,06/2015,0.0
Arizona,07/2015,0.0
Arizona,08/2015,0.0
Arizona,09/2015,0.0
Arizona,10/2015,0.0
Arizona,11/2015,0.0
Arizona,12/2015,0.0
California,01/2015,984.3609833419945
California,02/2015,979.8078303041362
California,03/2015,979.7953628863637
California,04/2015,976.6311280411678
California,05/2015,974.9590759122302
California,06/2015,973.9750595630128
California,07/2015,974.895409869091
California,08/2015,974.6092866374731
California,09/2015,973.1756826029075
California,10/2015,975.7445911072994
California,11/2015,980.41233193379
California,12/2015,980.4222060484891
Kansas,01/2015,0.0
Kansas,02/2015,0.0
Kansas,03/2015,0.0
Kansas,04/2015,0.0
Kansas,05/2015,0.0
Kansas,06/2015,0.0
Kansas,07/2015,0.0
Kansas,08/2015,0.0
Kansas,09/2015,0.0
Kansas,10/2015,0.0
Kansas,11/2015,0.0
Kansas,12/2015,0.0
North Carolina,01/2015,993.5900370967742
North Carolina,02/2015,991.5863095714286
North Carolina,03/2015,992.8897849354839
North Carolina,04/2015,988.8513888666665
North Carolina,05/2015,993.7956989354838
North Carolina,06/2015,988.9458332666668
North Carolina,07/2015,987.719085967742
North Carolina,08/2015,987.9884120806452
North Carolina,09/2015,989.0080555833333
North Carolina,10/2015,989.749605483871
North Carolina,11/2015,993.9134842833334
North Carolina,12/2015,991.0992607741935
South Carolina,01/2015,0.0
South Carolina,02/2015,0.0
South Carolina,03/2015,0.0
South Carolina,04/2015,0.0
South Carolina,05/2015,0.0
South Carolina,06/2015,0.0
South Carolina,07/2015,0.0
South Carolina,08/2015,0.0
South Carolina,09/2015,0.0
South Carolina,10/2015,0.0
South Carolina,11/2015,0.0
South Carolina,12/2015,0.0
Colorado,01/2015,824.8928763763439
Colorado,02/2015,819.3007687590363
Colorado,03/2015,819.8993422580646
Colorado,04/2015,792.7073105221239
Colorado,05/2015,788.9704739435483
Colorado,06/2015,792.5238194500001
Colorado,07/2015,793.8780028548387
Colorado,08/2015,799.3607030774193
Colorado,09/2015,798.0521185133333
Colorado,10/2015,797.6230945806452
Colorado,11/2015,794.0544260066666
Colorado,12/2015,792.4826227290323
Connecticut,01/2015,1005.2039738451612
Connecticut,02/2015,1004.0056695571429
Connecticut,03/2015,1005.1267364451613
Connecticut,04/2015,1001.9394370666666
Connecticut,05/2015,1006.9573916258065
Connecticut,06/2015,1002.21907004
Connecticut,07/2015,1000.0807386322582
Connecticut,08/2015,1002.4039738258065
Connecticut,09/2015,1005.6705952533334
Connecticut,10/2015,1005.4543010967742
Connecticut,11/2015,1008.5008695733334
Connecticut,12/2015,1005.1093702000001
North Dakota,01/2015,950.7991111899642
North Dakota,02/2015,952.4328089330357
North Dakota,03/2015,948.9876417419356
North Dakota,04/2015,946.3817712851853
North Dakota,05/2015,949.2208237634408
North Dakota,06/2015,947.0591732296297
North Dakota,07/2015,944.9848316057348
North Dakota,08/2015,946.5892647526881
North Dakota,09/2015,946.3260395407407
North Dakota,10/2015,948.6673249103941
North Dakota,11/2015,945.8962805851851
North Dakota,12/2015,944.2606599498208
South Dakota,01/2015,0.0
South Dakota,02/2015,0.0
South Dakota,03/2015,0.0
South Dakota,04/2015,0.0
South Dakota,05/2015,0.0
South Dakota,06/2015,0.0
South Dakota,07/2015,0.0
South Dakota,08/2015,0.0
South Dakota,09/2015,0.0
South Dakota,10/2015,0.0
South Dakota,11/2015,0.0
South Dakota,12/2015,0.0
Delaware,01/2015,0.0
Delaware,02/2015,0.0
Delaware,03/2015,0.0
Delaware,04/2015,0.0
Delaware,05/2015,0.0
Delaware,06/2015,0.0
Delaware,07/2015,0.0
Delaware,08/2015,0.0
Delaware,09/2015,0.0
Delaware,10/2015,0.0
Delaware,11/2015,0.0
Delaware,12/2015,0.0
Florida,01/2015,1017.7029569354839
Florida,02/2015,1015.8705357500002
Florida,03/2015,1016.040381032258
Florida,04/2015,1012.2314393333334
Florida,05/2015,1015.1129031935484
Florida,06/2015,1013.5819443333335
Florida,07/2015,1012.9059140322579
Florida,08/2015,1012.511686901961
