State,Month,pm10
South Carolina,02/2015,12.26771653543307
South Carolina,03/2015,13.718518518518518
South Carolina,04/2015,16.202614379084967
South Carolina,05/2015,17.964285714285715
South Carolina,06/2015,21.19672131147541
South Carolina,07/2015,23.0
South Carolina,08/2015,16.633333333333333
South Carolina,09/2015,13.940397350993377
South Carolina,10/2015,13.949640287769784
South Carolina,11/2015,12.430379746835444
South Carolina,12/2015,13.835526315789474
Colorado,01/2015,17.55513307984791
Colorado,02/2015,18.895555555555557
Colorado,03/2015,23.25
Colorado,04/2015,21.62076271186441
Colorado,05/2015,11.25254582484725
Colorado,06/2015,19.41991341991342
Colorado,07/2015,17.008583690987123
Colorado,08/2015,23.026859504132233
Colorado,09/2015,19.750528541226217
Colorado,10/2015,16.024896265560166
Colorado,11/2015,14.397802197802198
Colorado,12/2015,14.836559139784946
Connecticut,01/2015,13.271186440677965
Connecticut,02/2015,15.241071428571429
Connecticut,03/2015,15.736842105263158
Connecticut,04/2015,10.982142857142858
Connecticut,05/2015,21.088709677419356
Connecticut,06/2015,13.496
Connecticut,07/2015,15.177966101694915
Connecticut,08/2015,12.479674796747968
Connecticut,09/2015,15.05691056910569
Connecticut,10/2015,10.982758620689655
Connecticut,11/2015,9.638655462184873
Connecticut,12/2015,9.23076923076923
North Dakota,01/2015,8.532710280373832
North Dakota,02/2015,8.591928251121077
North Dakota,03/2015,10.086330935251798
North Dakota,04/2015,16.296153846153846
North Dakota,05/2015,14.579710144927537
North Dakota,06/2015,16.856603773584904
North Dakota,07/2015,22.56317689530686
North Dakota,08/2015,23.144404332129962
North Dakota,09/2015,17.47037037037037
North Dakota,10/2015,16.59856630824373
North Dakota,11/2015,9.314814814814815
North Dakota,12/2015,6.093525179856115
South Dakota,01/2015,12.438297872340426
South Dakota,02/2015,13.425233644859814
South Dakota,03/2015,19.381147540983605
South Dakota,04/2015,22.673819742489272
South Dakota,05/2015,14.198275862068966
South Dakota,06/2015,19.51101321585903
South Dakota,07/2015,23.303797468354432
South Dakota,08/2015,22.616033755274263
South Dakota,09/2015,23.683035714285715
South Dakota,10/2015,25.93421052631579
South Dakota,11/2015,14.936170212765957
South Dakota,12/2015,11.463203463203463
Delaware,01/2015,0.0
Delaware,02/2015,0.0
Delaware,03/2015,0.0
Delaware,04/2015,0.0
Delaware,05/2015,0.0
Delaware,06/2015,0.0
Delaware,07/2015,0.0
Delaware,08/2015,0.0
Delaware,09/2015,0.0
Delaware,10/2015,0.0
Delaware,11/2015,0.0
Delaware,12/2015,0.0
Florida,01/2015,13.124700239808153
Florida,02/2015,14.617715617715618
Florida,03/2015,17.04500978473581
Florida,04/2015,17.723044397463003
Florida,05/2015,18.347826086956523
Florida,06/2015,16.657963446475197
Florida,07/2015,21.0
Florida,08/2015,16.866161616161616
Florida,09/2015,12.565320665083135
Florida,10/2015,14.66815144766147
Florida,11/2015,14.279176201372998
Florida,12/2015,14.129032258064516
Georgia,01/2015,12.378378378378379
Georgia,02/2015,13.942857142857143
Georgia,03/2015,13.8
Georgia,04/2015,16.307692307692307
Georgia,05/2015,17.94871794871795
Georgia,06/2015,24.24390243902439
Georgia,07/2015,25.857142857142858
Georgia,08/2015,19.25
Georgia,09/2015,14.27027027027027
Georgia,10/2015,14.45
Georgia,11/2015,12.883720930232558
Georgia,12/2015,12.731707317073171
Hawaii,01/2015,16.752688172043012
Hawaii,02/2015,23.51219512195122
Hawaii,03/2015,14.53763440860215
Hawaii,04/2015,20.3
Hawaii,05/2015,17.695652173913043
Hawaii,06/2015,13.5
Hawaii,07/2015,13.153846153846153
Hawaii,08/2015,14.74698795180723
Hawaii,09/2015,12.333333333333334
Hawaii,10/2015,13.103896103896103
Hawaii,11/2015,17.291666666666668
Hawaii,12/2015,17.141025641025642
Idaho,01/2015,14.426315789473684
Idaho,02/2015,16.41764705882353
Idaho,03/2015,20.36842105263158
Idaho,04/2015,16.53551912568306
Idaho,05/2015,15.257894736842106
Idaho,06/2015,22.286486486486485
Idaho,07/2015,20.247311827956988
Idaho,08/2015,44.10582010582011
Idaho,09/2015,24.713513513513515
Idaho,10/2015,19.27027027027027
Idaho,11/2015,12.532934131736527
Idaho,12/2015,10.327956989247312
Rhode Island,01/2015,13.130434782608695
Rhode Island,02/2015,15.0
Rhode Island,03/2015,20.566666666666666
Rhode Island,04/2015,14.318181818181818
Rhode Island,05/2015,23.72
Rhode Island,06/2015,19.12
Rhode Island,07/2015,18.88
Rhode Island,08/2015,11.217391304347826
Rhode Island,09/2015,16.25
Rhode Island,10/2015,12.217391304347826
Rhode Island,11/2015,6.76
Rhode Island,12/2015,11.08
Illinois,01/2015,24.73972602739726
Illinois,02/2015,30.735294117647058
Illinois,03/2015,27.133333333333333
Illinois,04/2015,32.56716417910448
Illinois,05/2015,34.24285714285714
Illinois,06/2015,31.85135135135135
Illinois,07/2015,39.733333333333334
Illinois,08/2015,23.912280701754387
Illinois,09/2015,23.133333333333333
Illinois,10/2015,26.77777777777778
Illinois,11/2015,21.78082191780822
Illinois,12/2015,17.776315789473685
Indiana,01/2015,15.666666666666666
Indiana,02/2015,22.065217391304348
Indiana,03/2015,18.732954545454547
Indiana,04/2015,20.50314465408805
Indiana,05/2015,20.38364779874214
Indiana,06/2015,23.762589928057555
Indiana,07/2015,26.506172839506174
Indiana,08/2015,22.304093567251464
Indiana,09/2015,21.01197604790419
Indiana,10/2015,21.472049689440993
Indiana,11/2015,14.030674846625766
Indiana,12/2015,11.125714285714286
Iowa,01/2015,20.336734693877553
Iowa,02/2015,24.846715328467152
Iowa,03/2015,26.48936170212766
Iowa,04/2015,31.81063122923588
Iowa,05/2015,24.3953488372093
Iowa,06/2015,23.686206896551724
Iowa,07/2015,25.863799283154123
Iowa,08/2015,27.322033898305083
Iowa,09/2015,25.54909090909091
Iowa,10/2015,30.263537906137184
Iowa,11/2015,17.940944881889763
Iowa,12/2015,15.084870848708487
Kentucky,01/2015,12.902173913043478
Kentucky,02/2015,15.0875
Kentucky,03/2015,15.0
Kentucky,04/2015,14.188034188034187
Kentucky,05/2015,19.173553719008265
Kentucky,06/2015,24.25
Kentucky,07/2015,23.487603305785125
Kentucky,08/2015,18.70731707317073
Kentucky,09/2015,19.174603174603174
Kentucky,10/2015,17.758333333333333
Kentucky,11/2015,12.97872340425532
Kentucky,12/2015,11.115789473684211
Louisiana,01/2015,17.37857142857143
Louisiana,02/2015,17.6328125
Louisiana,03/2015,14.929032258064517
Louisiana,04/2015,16.666666666666668
Louisiana,05/2015,19.80392156862745
Louisiana,06/2015,26.779310344827586
Louisiana,07/2015,27.97902097902098
Louisiana,08/2015,20.95205479452055
Louisiana,09/2015,17.563758389261746
Louisiana,10/2015,22.775510204081634
