State,Month,co
Minnesota,06/2018,0.34031027061855673
Minnesota,07/2018,0.3382193433179723
Minnesota,08/2018,0.3406419377880184
Minnesota,09/2018,0.31086138829787235
Minnesota,10/2018,0.2644765264705883
Minnesota,11/2018,0.2999598836477988
Minnesota,12/2018,0.3344796832460733
Mississippi,01/2018,0.34175250000000007
Mississippi,02/2018,0.24314274074074071
Mississippi,03/2018,0.23382334615384617
Mississippi,04/2018,0.1133249
Mississippi,05/2018,0.07397424193548387
Mississippi,06/2018,0.035908483333333324
Mississippi,07/2018,0.055231803571428574
Mississippi,08/2018,0.04450206451612903
Mississippi,09/2018,0.021882117647058823
Mississippi,10/2018,0.0
Mississippi,11/2018,0.1697061111111111
Mississippi,12/2018,0.13863774193548387
Missouri,01/2018,0.27406983870967744
Missouri,02/2018,0.2682119404761905
Missouri,03/2018,0.25208044086021514
Missouri,04/2018,0.23897456111111112
Missouri,05/2018,0.2711290215053763
Missouri,06/2018,0.2501613833333333
Missouri,07/2018,0.24563589247311826
Missouri,08/2018,0.3006989838709677
Missouri,09/2018,0.26927005
Missouri,10/2018,0.24994373655913982
Missouri,11/2018,0.28459798888888893
Missouri,12/2018,0.3055714623655914
Montana,01/2018,0.1786567580645162
Montana,02/2018,0.16435829464285717
Montana,03/2018,0.15701186290322586
Montana,04/2018,0.1528611264367816
Montana,05/2018,0.16275129508196726
Montana,06/2018,0.16702670833333333
Montana,07/2018,0.19414511290322584
Montana,08/2018,0.2689286574074074
Montana,09/2018,0.17657830252100848
Montana,10/2018,0.14922040952380952
Montana,11/2018,0.1480882222222223
Montana,12/2018,0.15027931666666666
Nebraska,01/2018,0.36929118548387097
Nebraska,02/2018,0.33490592857142854
Nebraska,03/2018,0.3201657177419354
Nebraska,04/2018,0.28880323333333335
Nebraska,05/2018,0.266467870967742
Nebraska,06/2018,0.20674494166666665
Nebraska,07/2018,0.2616760806451613
Nebraska,08/2018,0.2734295901639344
Nebraska,09/2018,0.20079323333333335
Nebraska,10/2018,0.2755648225806451
Nebraska,11/2018,0.3084532833333334
Nebraska,12/2018,0.34083317741935487
Nevada,01/2018,0.7531614583333334
Nevada,02/2018,0.4215844856115108
Nevada,03/2018,0.31094784463276837
Nevada,04/2018,0.2527021183431953
Nevada,05/2018,0.2245884945652174
Nevada,06/2018,0.16422526495726494
Nevada,07/2018,0.2018583131313131
Nevada,08/2018,0.21874671530249107
Nevada,09/2018,0.2570371833333333
Nevada,10/2018,0.33671365140845066
Nevada,11/2018,0.6286890199999999
Nevada,12/2018,0.578945035483871
New Hampshire,01/2018,0.1932154435483871
New Hampshire,02/2018,0.185222
New Hampshire,03/2018,0.1585162096774193
New Hampshire,04/2018,0.1602723666666667
New Hampshire,05/2018,0.14832722580645163
New Hampshire,06/2018,0.12297222807017544
New Hampshire,07/2018,0.11890541129032257
New Hampshire,08/2018,0.1791874782608696
New Hampshire,09/2018,0.18836695833333333
New Hampshire,10/2018,0.17567408870967746
