State,Month,pm10
Alabama,01/2018,14.177215189873417
Alabama,02/2018,11.508333333333333
Alabama,03/2018,16.768707482993197
Alabama,04/2018,15.909574468085106
Alabama,05/2018,21.333333333333332
Alabama,06/2018,24.773480662983424
Alabama,07/2018,19.08421052631579
Alabama,08/2018,17.884146341463413
Alabama,09/2018,14.686170212765957
Alabama,10/2018,18.61025641025641
Alabama,11/2018,16.90566037735849
Alabama,12/2018,13.64375
Alaska,01/2018,11.163366336633663
Alaska,02/2018,10.565934065934066
Alaska,03/2018,12.916666666666666
Alaska,04/2018,25.921787709497206
Alaska,05/2018,11.612745098039216
Alaska,06/2018,12.771028037383177
Alaska,07/2018,11.959090909090909
Alaska,08/2018,7.618257261410788
Alaska,09/2018,12.517412935323383
Alaska,10/2018,12.155462184873949
Alaska,11/2018,14.12
Alaska,12/2018,7.559322033898305
Arkansas,01/2018,15.521739130434783
Arkansas,02/2018,12.363636363636363
Arkansas,03/2018,16.863636363636363
Arkansas,04/2018,13.047619047619047
Arkansas,05/2018,19.217391304347824
Arkansas,06/2018,21.5
Arkansas,07/2018,27.88
Arkansas,08/2018,20.956521739130434
Arkansas,09/2018,15.45
Arkansas,10/2018,13.608695652173912
Arkansas,11/2018,15.181818181818182
Arkansas,12/2018,14.043478260869565
Arizona,01/2018,35.70117955439056
Arizona,02/2018,32.900432900432904
Arizona,03/2018,25.43886318572373
Arizona,04/2018,46.85761589403973
Arizona,05/2018,38.23389175257732
Arizona,06/2018,36.04246848042469
Arizona,07/2018,43.30749682337992
Arizona,08/2018,45.24074074074074
Arizona,09/2018,32.0426251691475
Arizona,10/2018,15.688723835246455
Arizona,11/2018,34.463276836158194
Arizona,12/2018,22.60267558528428
California,01/2018,20.965214335910048
California,02/2018,25.85378283026264
California,03/2018,13.535008976660682
California,04/2018,26.43958031837916
California,05/2018,25.370192307692307
California,06/2018,29.880056278578966
California,07/2018,33.92888737665873
California,08/2018,40.89578250261415
California,09/2018,33.93646805455851
California,10/2018,26.867845993756504
California,11/2018,37.54405594405594
California,12/2018,16.81966101694915
Kansas,01/2018,16.922764227642276
Kansas,02/2018,16.730569948186528
Kansas,03/2018,21.023346303501945
Kansas,04/2018,22.876068376068375
Kansas,05/2018,21.227272727272727
Kansas,06/2018,24.46564885496183
Kansas,07/2018,26.915441176470587
Kansas,08/2018,25.361940298507463
Kansas,09/2018,18.266129032258064
Kansas,10/2018,14.10989010989011
Kansas,11/2018,14.293436293436294
Kansas,12/2018,13.422794117647058
North Carolina,01/2018,13.326612903225806
North Carolina,02/2018,11.268518518518519
North Carolina,03/2018,12.217391304347826
North Carolina,04/2018,15.011538461538462
North Carolina,05/2018,14.305220883534137
North Carolina,06/2018,15.434108527131784
North Carolina,07/2018,14.675471698113208
North Carolina,08/2018,15.915384615384616
North Carolina,09/2018,14.43010752688172
North Carolina,10/2018,13.0
North Carolina,11/2018,12.18796992481203
North Carolina,12/2018,12.762452107279694
South Carolina,01/2018,12.642857142857142
South Carolina,02/2018,13.289256198347108
South Carolina,03/2018,14.316239316239317
South Carolina,04/2018,14.971428571428572
South Carolina,05/2018,15.450381679389313
South Carolina,06/2018,17.622448979591837
South Carolina,07/2018,15.14406779661017
South Carolina,08/2018,15.798245614035087
South Carolina,09/2018,13.666666666666666
South Carolina,10/2018,14.251968503937007
South Carolina,11/2018,11.248
South Carolina,12/2018,11.350746268656716
Colorado,01/2018,23.585858585858585
Colorado,02/2018,16.977900552486187
Colorado,03/2018,20.84864864864865
Colorado,04/2018,22.976878612716764
Colorado,05/2018,18.905759162303664
Colorado,06/2018,27.903846153846153
Colorado,07/2018,23.880668257756565
Colorado,08/2018,25.863523573200993
Colorado,09/2018,20.77777777777778
Colorado,10/2018,15.839901477832512
Colorado,11/2018,17.083116883116883
Colorado,12/2018,17.446153846153845
Connecticut,01/2018,14.82905982905983
Connecticut,02/2018,12.123809523809523
Connecticut,03/2018,8.009803921568627
Connecticut,04/2018,10.15929203539823
Connecticut,05/2018,16.794871794871796
Connecticut,06/2018,15.197452229299364
Connecticut,07/2018,17.405263157894737
Connecticut,08/2018,19.289156626506024
Connecticut,09/2018,12.083333333333334
Connecticut,10/2018,11.514754098360656
Connecticut,11/2018,9.289115646258503
Connecticut,12/2018,12.526132404181185
North Dakota,01/2018,6.920634920634921
North Dakota,02/2018,7.497652582159624
North Dakota,03/2018,8.328125
North Dakota,04/2018,10.41897233201581
North Dakota,05/2018,17.44943820224719
North Dakota,06/2018,13.283464566929133
North Dakota,07/2018,14.39179104477612
North Dakota,08/2018,30.077490774907748
North Dakota,09/2018,11.174273858921161
North Dakota,10/2018,10.186379928315413
North Dakota,11/2018,6.186567164179104
North Dakota,12/2018,5.586466165413534
South Dakota,01/2018,12.647940074906368
South Dakota,02/2018,14.080508474576272
South Dakota,03/2018,13.426415094339623
South Dakota,04/2018,15.2015503875969
South Dakota,05/2018,18.644
South Dakota,06/2018,22.772200772200772
South Dakota,07/2018,20.5078125
South Dakota,08/2018,28.03370786516854
South Dakota,09/2018,20.904166666666665
South Dakota,10/2018,14.706563706563706
South Dakota,11/2018,12.888030888030888
South Dakota,12/2018,13.178030303030303
Delaware,01/2018,0.0
Delaware,02/2018,0.0
Delaware,03/2018,0.0
Delaware,04/2018,0.0
Delaware,05/2018,0.0
Delaware,06/2018,0.0
Delaware,07/2018,0.0
Delaware,08/2018,0.0
Delaware,09/2018,0.0
Delaware,10/2018,0.0
Delaware,11/2018,0.0
Delaware,12/2018,0.0
Florida,01/2018,16.085714285714285
Florida,02/2018,18.29263157894737
Florida,03/2018,19.818181818181817
Florida,04/2018,17.653357531760435
Florida,05/2018,15.832347140039447
Florida,06/2018,16.477223427331886
Florida,07/2018,18.716262975778548
