State,Month,no2
Alabama,01/2018,12.320599145161289
Alabama,02/2018,8.593591982142858
Alabama,03/2018,9.838290741935486
Alabama,04/2018,8.93735595
Alabama,05/2018,11.115237467741936
Alabama,06/2018,9.5578627
Alabama,07/2018,8.678762532258064
Alabama,08/2018,8.4566985
Alabama,09/2018,8.55012295
Alabama,10/2018,10.140641032258067
Alabama,11/2018,9.874052783333333
Alabama,12/2018,9.9698841875
Alaska,01/2018,24.613748258064515
Alaska,02/2018,22.17089196153846
Alaska,03/2018,19.33828925806451
Alaska,04/2018,7.263787866666666
Alaska,05/2018,4.052687586206897
Alaska,06/2018,3.287472481481481
Alaska,07/2018,3.0699982580645155
Alaska,08/2018,2.849277548387097
Alaska,09/2018,5.3598864
Alaska,10/2018,11.855092516129034
Alaska,11/2018,17.292951900000002
Alaska,12/2018,20.36179383870968
Arkansas,01/2018,8.493742870967742
Arkansas,02/2018,8.344348
Arkansas,03/2018,6.616416919354839
Arkansas,04/2018,6.4952572
Arkansas,05/2018,6.823372290322582
Arkansas,06/2018,6.600256533333333
Arkansas,07/2018,6.257678709677418
Arkansas,08/2018,6.218458177419354
Arkansas,09/2018,6.276508666666667
Arkansas,10/2018,6.937065419354839
Arkansas,11/2018,8.732640083333333
Arkansas,12/2018,8.729239741935483
Arizona,01/2018,22.648075161290322
Arizona,02/2018,19.21804082142857
Arizona,03/2018,16.771657612903226
Arizona,04/2018,14.034379466386556
Arizona,05/2018,12.22898893951613
Arizona,06/2018,11.926077079831932
Arizona,07/2018,9.062455750000002
Arizona,08/2018,9.309541548387095
Arizona,09/2018,12.3244289
Arizona,10/2018,12.215666818548387
Arizona,11/2018,19.987902475000002
Arizona,12/2018,19.516153241935484
California,01/2018,14.079442008305646
California,02/2018,12.666879368459568
California,03/2018,9.085454329345296
California,04/2018,7.297838025546218
California,05/2018,5.709086138762214
California,06/2018,6.329503360186418
California,07/2018,6.551004155555555
California,08/2018,7.170079600321543
California,09/2018,8.650290339873628
California,10/2018,10.892010779672132
