State,Month,so2
Alabama,01/2018,1.1941404945054945
Alabama,02/2018,0.6324758196202531
Alabama,03/2018,1.7816260969696969
Alabama,04/2018,1.3943945111111111
Alabama,05/2018,1.0547803072289155
Alabama,06/2018,1.005893908496732
Alabama,07/2018,0.9983274297752807
Alabama,08/2018,0.7329750862068966
Alabama,09/2018,0.6974491611842105
Alabama,10/2018,1.0956134606060604
Alabama,11/2018,0.9601484457142858
Alabama,12/2018,1.0977399966777408
Alaska,01/2018,11.46263227419355
Alaska,02/2018,11.941684053571427
Alaska,03/2018,5.830143166666667
Alaska,04/2018,3.19470455
Alaska,05/2018,3.249350935483871
Alaska,06/2018,2.2854858499999997
Alaska,07/2018,1.7155594516129031
Alaska,08/2018,2.469266016129032
Alaska,09/2018,3.7664436500000003
Alaska,10/2018,4.950848677419356
Alaska,11/2018,6.927508183333332
Alaska,12/2018,9.066104741935485
Arkansas,01/2018,0.5058602096774194
Arkansas,02/2018,0.3659360892857143
Arkansas,03/2018,0.34938598387096775
Arkansas,04/2018,0.5246064
Arkansas,05/2018,0.5864676774193548
Arkansas,06/2018,0.7611674166666665
Arkansas,07/2018,0.5638677903225806
Arkansas,08/2018,0.6005714516129034
Arkansas,09/2018,0.5176931833333334
Arkansas,10/2018,0.4965149677419355
Arkansas,11/2018,0.6519327999999999
Arkansas,12/2018,1.2799217741935485
Arizona,01/2018,2.4421490096153846
Arizona,02/2018,1.9613259107142855
Arizona,03/2018,1.284966076388889
Arizona,04/2018,1.0017285193236714
Arizona,05/2018,1.5504857165898616
Arizona,06/2018,2.0717483221957043
Arizona,07/2018,1.9911924071428573
Arizona,08/2018,1.864118581730769
Arizona,09/2018,2.388298529126214
Arizona,10/2018,1.8188402222222222
Arizona,11/2018,2.4791819000000004
Arizona,12/2018,2.5372709191685914
California,01/2018,0.40653816983240226
California,02/2018,0.4246821545566502
California,03/2018,0.34794903567447044
California,04/2018,0.3539773136363636
California,05/2018,0.3549803313416621
California,06/2018,0.4954407893854748
California,07/2018,0.5685504449891067
California,08/2018,0.5361455565167244
California,09/2018,0.5085552066441441
California,10/2018,0.4136462850754612
California,11/2018,0.5468300882518269
California,12/2018,0.37316423401950166
Kansas,01/2018,0.9164332520661156
Kansas,02/2018,0.798183330357143
Kansas,03/2018,0.8763177661290322
Kansas,04/2018,0.8464407250000001
Kansas,05/2018,1.0956962298387096
Kansas,06/2018,1.7075958458333331
Kansas,07/2018,1.1788649274193548
Kansas,08/2018,1.3503879094650206
Kansas,09/2018,0.823712075
Kansas,10/2018,0.592810119266055
Kansas,11/2018,0.7190518211009175
Kansas,12/2018,0.6755545403225806
North Carolina,01/2018,1.4769799289099526
North Carolina,02/2018,1.4202419071661239
North Carolina,03/2018,1.5734851810089021
North Carolina,04/2018,0.8238625632716049
North Carolina,05/2018,0.9872235923753665
North Carolina,06/2018,0.41094146423135464
North Carolina,07/2018,0.44543261708394694
North Carolina,08/2018,0.18843991734197732
North Carolina,09/2018,0.19138471167048055
North Carolina,10/2018,0.4350031605415861
North Carolina,11/2018,0.6211699626998225
North Carolina,12/2018,0.6457561282894737
South Carolina,01/2018,0.38206732558139533
South Carolina,02/2018,0.1361004108108108
South Carolina,03/2018,0.15966805069124423
South Carolina,04/2018,0.08727300476190476
South Carolina,05/2018,0.0695284039408867
South Carolina,06/2018,0.1410801244635193
South Carolina,07/2018,0.0966664495614035
South Carolina,08/2018,0.12222479957805908
South Carolina,09/2018,0.04491137428571428
South Carolina,10/2018,0.16634670901639345
South Carolina,11/2018,0.20788878125
South Carolina,12/2018,0.18628947782258065
Colorado,01/2018,1.4867866032786885
Colorado,02/2018,0.7934104525862069
Colorado,03/2018,0.7707444013605442
Colorado,04/2018,0.40454806538461535
Colorado,05/2018,0.46466732580645165
Colorado,06/2018,0.6911411866666667
Colorado,07/2018,0.8795427483870968
Colorado,08/2018,0.7104146806451612
Colorado,09/2018,0.8032924566666666
Colorado,10/2018,0.8452306807017544
Colorado,11/2018,0.76576305
Colorado,12/2018,0.9669610915032679
Connecticut,01/2018,0.6080689677419355
Connecticut,02/2018,0.2770042378048781
Connecticut,03/2018,0.17089619230769232
Connecticut,04/2018,0.13072907777777779
Connecticut,05/2018,0.12880662499999998
Connecticut,06/2018,0.07804693888888888
Connecticut,07/2018,0.15063763440860214
Connecticut,08/2018,0.1546619623655914
Connecticut,09/2018,0.06291667777777778
Connecticut,10/2018,0.16802393548387096
Connecticut,11/2018,0.21767438888888893
Connecticut,12/2018,0.21812519886363635
North Dakota,01/2018,0.9906815607235143
North Dakota,02/2018,0.9349270516499282
North Dakota,03/2018,0.9240318437956203
North Dakota,04/2018,0.6617642374631268
North Dakota,05/2018,0.6068659742895804
North Dakota,06/2018,0.6786743865435357
North Dakota,07/2018,0.6543190199252802
North Dakota,08/2018,0.8612061042183623
North Dakota,09/2018,0.8697644923076923
North Dakota,10/2018,0.9032196761786602
North Dakota,11/2018,0.6583637153846154
North Dakota,12/2018,0.6579317803970224
South Dakota,01/2018,0.4960479919354838
South Dakota,02/2018,0.557123875
South Dakota,03/2018,0.5314229717741936
South Dakota,04/2018,0.5857902208333333
South Dakota,05/2018,0.5290668387096774
South Dakota,06/2018,0.4437129500000001
South Dakota,07/2018,0.3994963427419355
South Dakota,08/2018,0.4297978064516129
South Dakota,09/2018,0.218577175
South Dakota,10/2018,0.2727599758064516
South Dakota,11/2018,0.2730428458333333
South Dakota,12/2018,0.33102428813559326
Delaware,01/2018,0.5658827124183007
Delaware,02/2018,0.24239417228464422
Delaware,03/2018,0.2742185290322581
Delaware,04/2018,0.23431139666666667
Delaware,05/2018,0.26058841935483873
Delaware,06/2018,0.1774252341137124
Delaware,07/2018,0.1513837508090615
Delaware,08/2018,0.08094508695652175
Delaware,09/2018,0.10164302090592335
Delaware,10/2018,0.13179840066225165
Delaware,11/2018,0.2980165877862595
Delaware,12/2018,0.3168342974137931
Florida,01/2018,0.8550769983471075
Florida,02/2018,0.6895659718693284
Florida,03/2018,0.8567390698412697
Florida,04/2018,0.7418031974637681
Florida,05/2018,0.7107207732974911
Florida,06/2018,0.7989817087576375
Florida,07/2018,0.6928928861283644
Florida,08/2018,0.632694046201232
Florida,09/2018,0.5837828993435448
Florida,10/2018,0.7161530945494995
Florida,11/2018,0.7759096851106639
Florida,12/2018,0.7519679698354662
Georgia,01/2018,1.2042440921658986
Georgia,02/2018,0.5056392244897959
Georgia,03/2018,0.8934098179723503
Georgia,04/2018,0.8325704071428571
Georgia,05/2018,0.6366656221198157
Georgia,06/2018,0.6323074230769231
Georgia,07/2018,0.6751282903225806
Georgia,08/2018,0.5283861267281106
Georgia,09/2018,0.7654139271356782
Georgia,10/2018,0.8671910856481481
Georgia,11/2018,0.7775804904761904
Georgia,12/2018,0.584177331797235
Hawaii,01/2018,8.922231492424244
Hawaii,02/2018,9.691981248000001
Hawaii,03/2018,4.790773997435897
Hawaii,04/2018,3.7942618218673223
Hawaii,05/2018,14.970643326923078
Hawaii,06/2018,19.73150619770115
Hawaii,07/2018,18.1597581607565
Hawaii,08/2018,2.120183083569405
Hawaii,09/2018,1.1580123381294962
Hawaii,10/2018,1.0197719188092016
Hawaii,11/2018,1.0354631299435029
Hawaii,12/2018,0.9853442479564032
Idaho,01/2018,2.041908817204301
Idaho,02/2018,2.602597373493976
Idaho,03/2018,1.9650865053763442
Idaho,04/2018,2.703560494444445
Idaho,05/2018,1.8985760215053762
Idaho,06/2018,1.9853996166666668
Idaho,07/2018,2.5463353924731185
Idaho,08/2018,2.365498634831461
Idaho,09/2018,2.180211238888889
Idaho,10/2018,1.5886340645161292
Idaho,11/2018,1.8504653764044943
Idaho,12/2018,1.4505389135802471
Rhode Island,01/2018,0.6313129838709678
Rhode Island,02/2018,0.33518649999999994
Rhode Island,03/2018,0.2647364354838709
Rhode Island,04/2018,0.2591421666666667
Rhode Island,05/2018,0.24589379032258063
Rhode Island,06/2018,0.21878328333333333
Rhode Island,07/2018,0.24937911290322584
Rhode Island,08/2018,0.23795491935483867
Rhode Island,09/2018,0.2161363666666666
Rhode Island,10/2018,0.10300404838709677
Rhode Island,11/2018,0.16423481666666667
