State,Month,Deaths
Alabama,01/2018,719.0
Alabama,02/2018,458.0
Alabama,03/2018,406.0
Alabama,04/2018,406.0
Alabama,05/2018,407.0
Alabama,06/2018,332.0
Alabama,07/2018,328.0
Alabama,08/2018,353.0
Alabama,09/2018,316.0
Alabama,10/2018,345.0
Alabama,11/2018,334.0
Alabama,12/2018,460.0
Alaska,01/2018,27.0
Alaska,02/2018,26.0
Alaska,03/2018,31.0
Alaska,04/2018,34.0
Alaska,05/2018,30.0
Alaska,06/2018,27.0
Alaska,07/2018,16.0
Alaska,08/2018,26.0
Alaska,09/2018,11.0
Alaska,10/2018,26.0
Alaska,11/2018,17.0
Alaska,12/2018,19.0
Arkansas,01/2018,429.0
Arkansas,02/2018,340.0
Arkansas,03/2018,276.0
Arkansas,04/2018,226.0
Arkansas,05/2018,245.0
Arkansas,06/2018,222.0
Arkansas,07/2018,209.0
Arkansas,08/2018,178.0
Arkansas,09/2018,202.0
Arkansas,10/2018,240.0
Arkansas,11/2018,234.0
Arkansas,12/2018,254.0
Arizona,01/2018,794.0
Arizona,02/2018,485.0
Arizona,03/2018,511.0
Arizona,04/2018,440.0
Arizona,05/2018,357.0
Arizona,06/2018,345.0
Arizona,07/2018,317.0
Arizona,08/2018,302.0
Arizona,09/2018,321.0
Arizona,10/2018,305.0
Arizona,11/2018,340.0
Arizona,12/2018,431.0
California,01/2018,3386.0
California,02/2018,2099.0
California,03/2018,2202.0
California,04/2018,1721.0
California,05/2018,1532.0
California,06/2018,1349.0
California,07/2018,1331.0
California,08/2018,1274.0
California,09/2018,1223.0
California,10/2018,1285.0
California,11/2018,1449.0
California,12/2018,1700.0
Kansas,01/2018,323.0
Kansas,02/2018,300.0
Kansas,03/2018,257.0
Kansas,04/2018,210.0
Kansas,05/2018,181.0
Kansas,06/2018,161.0
Kansas,07/2018,138.0
Kansas,08/2018,152.0
Kansas,09/2018,178.0
Kansas,10/2018,188.0
Kansas,11/2018,180.0
Kansas,12/2018,199.0
North Carolina,01/2018,1038.0
North Carolina,02/2018,850.0
North Carolina,03/2018,682.0
North Carolina,04/2018,576.0
North Carolina,05/2018,528.0
North Carolina,06/2018,566.0
North Carolina,07/2018,498.0
North Carolina,08/2018,482.0
North Carolina,09/2018,498.0
North Carolina,10/2018,512.0
North Carolina,11/2018,552.0
North Carolina,12/2018,642.0
South Carolina,01/2018,525.0
South Carolina,02/2018,406.0
South Carolina,03/2018,340.0
South Carolina,04/2018,298.0
South Carolina,05/2018,323.0
South Carolina,06/2018,266.0
South Carolina,07/2018,272.0
South Carolina,08/2018,270.0
South Carolina,09/2018,233.0
South Carolina,10/2018,306.0
South Carolina,11/2018,290.0
South Carolina,12/2018,343.0
Colorado,01/2018,418.0
Colorado,02/2018,322.0
Colorado,03/2018,335.0
Colorado,04/2018,307.0
Colorado,05/2018,257.0
Colorado,06/2018,227.0
Colorado,07/2018,206.0
Colorado,08/2018,210.0
Colorado,09/2018,200.0
Colorado,10/2018,224.0
Colorado,11/2018,254.0
Colorado,12/2018,244.0
Connecticut,01/2018,286.0
Connecticut,02/2018,249.0
Connecticut,03/2018,228.0
Connecticut,04/2018,201.0
Connecticut,05/2018,162.0
Connecticut,06/2018,152.0
Connecticut,07/2018,139.0
Connecticut,08/2018,159.0
Connecticut,09/2018,134.0
Connecticut,10/2018,150.0
Connecticut,11/2018,156.0
Connecticut,12/2018,168.0
North Dakota,01/2018,62.0
North Dakota,02/2018,42.0
North Dakota,03/2018,46.0
North Dakota,04/2018,47.0
North Dakota,05/2018,46.0
North Dakota,06/2018,33.0
North Dakota,07/2018,31.0
North Dakota,08/2018,28.0
North Dakota,09/2018,29.0
North Dakota,10/2018,43.0
North Dakota,11/2018,26.0
North Dakota,12/2018,47.0
South Dakota,01/2018,89.0
South Dakota,02/2018,73.0
South Dakota,03/2018,76.0
South Dakota,04/2018,68.0
South Dakota,05/2018,47.0
South Dakota,06/2018,39.0
South Dakota,07/2018,51.0
South Dakota,08/2018,44.0
South Dakota,09/2018,62.0
South Dakota,10/2018,65.0
South Dakota,11/2018,58.0
South Dakota,12/2018,71.0
Delaware,01/2018,59.0
Delaware,02/2018,88.0
Delaware,03/2018,79.0
Delaware,04/2018,64.0
Delaware,05/2018,45.0
Delaware,06/2018,46.0
Delaware,07/2018,56.0
Delaware,08/2018,61.0
Delaware,09/2018,44.0
Delaware,10/2018,57.0
Delaware,11/2018,57.0
Delaware,12/2018,43.0
Florida,01/2018,1880.0
Florida,02/2018,1574.0
Florida,03/2018,1480.0
Florida,04/2018,1334.0
Florida,05/2018,1219.0
Florida,06/2018,1193.0
Florida,07/2018,1147.0
Florida,08/2018,1073.0
Florida,09/2018,1078.0
Florida,10/2018,1105.0
Florida,11/2018,1091.0
Florida,12/2018,1279.0
Georgia,01/2018,863.0
Georgia,02/2018,739.0
Georgia,03/2018,624.0
Georgia,04/2018,498.0
Georgia,05/2018,534.0
Georgia,06/2018,428.0
Georgia,07/2018,420.0
Georgia,08/2018,436.0
Georgia,09/2018,443.0
Georgia,10/2018,476.0
Georgia,11/2018,479.0
Georgia,12/2018,578.0
Hawaii,01/2018,108.0
Hawaii,02/2018,77.0
Hawaii,03/2018,88.0
Hawaii,04/2018,88.0
Hawaii,05/2018,70.0
Hawaii,06/2018,83.0
Hawaii,07/2018,64.0
Hawaii,08/2018,71.0
Hawaii,09/2018,73.0
Hawaii,10/2018,68.0
Hawaii,11/2018,66.0
Hawaii,12/2018,78.0
Idaho,01/2018,142.0
Idaho,02/2018,104.0
Idaho,03/2018,116.0
Idaho,04/2018,111.0
Idaho,05/2018,105.0
Idaho,06/2018,90.0
Idaho,07/2018,76.0
Idaho,08/2018,58.0
Idaho,09/2018,74.0
Idaho,10/2018,86.0
Idaho,11/2018,85.0
Idaho,12/2018,88.0
Rhode Island,01/2018,89.0
Rhode Island,02/2018,77.0
Rhode Island,03/2018,54.0
Rhode Island,04/2018,59.0
Rhode Island,05/2018,60.0
Rhode Island,06/2018,55.0
Rhode Island,07/2018,55.0
Rhode Island,08/2018,44.0
Rhode Island,09/2018,41.0
Rhode Island,10/2018,35.0
Rhode Island,11/2018,52.0
Rhode Island,12/2018,37.0
Illinois,01/2018,1164.0
Illinois,02/2018,796.0
