State,Month,co
Alabama,01/2014,0.32810072469635626
Alabama,02/2014,0.2777366261261261
Alabama,03/2014,0.2958015942622951
Alabama,04/2014,0.3532052041666667
Alabama,05/2014,0.4001986491935484
Alabama,06/2014,0.3983381833333334
Alabama,07/2014,0.3870146822033898
Alabama,08/2014,0.4479395040322581
Alabama,09/2014,0.3557672125
Alabama,10/2014,0.36315194354838704
Alabama,11/2014,0.3232237416666666
Alabama,12/2014,0.44413795564516134
Alaska,01/2014,0.7869691612903225
Alaska,02/2014,0.8521851383928573
Alaska,03/2014,0.5846216088709677
Alaska,04/2014,0.2943031746031745
Alaska,05/2014,0.24598529032258057
Alaska,06/2014,0.23899756666666666
Alaska,07/2014,0.20813390322580647
Alaska,08/2014,0.22380643548387097
Alaska,09/2014,0.34409198214285713
Alaska,10/2014,0.48322407627118646
Alaska,11/2014,0.7838359083333334
Alaska,12/2014,0.6893092661290322
Arkansas,01/2014,0.3765559838709677
Arkansas,02/2014,0.408777125
Arkansas,03/2014,0.3585525
Arkansas,04/2014,0.25647195
Arkansas,05/2014,0.24245185483870968
Arkansas,06/2014,0.24504833333333337
Arkansas,07/2014,0.34101708064516134
Arkansas,08/2014,0.36741487096774195
Arkansas,09/2014,0.3638707833333334
Arkansas,10/2014,0.39554924193548385
Arkansas,11/2014,0.47713931666666665
Arkansas,12/2014,0.34709266129032246
Arizona,01/2014,0.5794137413793102
Arizona,02/2014,0.46000112499999996
Arizona,03/2014,0.32914930000000003
Arizona,04/2014,0.29633216155419223
Arizona,05/2014,0.27701097629310345
Arizona,06/2014,0.25281687280701753
Arizona,07/2014,0.2411756935483871
Arizona,08/2014,0.2678831923076923
Arizona,09/2014,0.2660079017681729
Arizona,10/2014,0.386172028109029
Arizona,11/2014,0.4718841408450704
Arizona,12/2014,0.5573111247877759
California,01/2014,0.5702940311835578
California,02/2014,0.3700497720870679
California,03/2014,0.2957596742123687
California,04/2014,0.2731200325625294
California,05/2014,0.24297677873229626
California,06/2014,0.22648229723837207
