State,Month,Deaths
Alabama,01/2014,485.0
Alabama,02/2014,373.0
Alabama,03/2014,316.0
Alabama,04/2014,297.0
Alabama,05/2014,325.0
Alabama,06/2014,317.0
Alabama,07/2014,290.0
Alabama,08/2014,302.0
Alabama,09/2014,306.0
Alabama,10/2014,273.0
Alabama,11/2014,356.0
Alabama,12/2014,441.0
Alaska,01/2014,29.0
Alaska,02/2014,16.0
Alaska,03/2014,21.0
Alaska,04/2014,17.0
Alaska,05/2014,22.0
Alaska,06/2014,26.0
Alaska,07/2014,23.0
Alaska,08/2014,20.0
Alaska,09/2014,10.0
Alaska,10/2014,27.0
Alaska,11/2014,23.0
Alaska,12/2014,26.0
Arkansas,01/2014,331.0
Arkansas,02/2014,256.0
Arkansas,03/2014,250.0
Arkansas,04/2014,241.0
Arkansas,05/2014,239.0
Arkansas,06/2014,222.0
Arkansas,07/2014,226.0
Arkansas,08/2014,195.0
Arkansas,09/2014,186.0
Arkansas,10/2014,188.0
Arkansas,11/2014,203.0
Arkansas,12/2014,265.0
Arizona,01/2014,530.0
Arizona,02/2014,436.0
Arizona,03/2014,394.0
Arizona,04/2014,338.0
Arizona,05/2014,374.0
Arizona,06/2014,290.0
Arizona,07/2014,286.0
Arizona,08/2014,297.0
Arizona,09/2014,271.0
Arizona,10/2014,308.0
Arizona,11/2014,301.0
Arizona,12/2014,350.0
California,01/2014,2532.0
California,02/2014,1889.0
California,03/2014,1684.0
California,04/2014,1541.0
California,05/2014,1456.0
California,06/2014,1327.0
California,07/2014,1382.0
California,08/2014,1321.0
California,09/2014,1285.0
California,10/2014,1279.0
California,11/2014,1415.0
California,12/2014,1639.0
Kansas,01/2014,256.0
Kansas,02/2014,202.0
Kansas,03/2014,266.0
Kansas,04/2014,225.0
Kansas,05/2014,177.0
Kansas,06/2014,159.0
Kansas,07/2014,158.0
Kansas,08/2014,149.0
Kansas,09/2014,149.0
Kansas,10/2014,171.0
Kansas,11/2014,186.0
Kansas,12/2014,212.0
North Carolina,01/2014,812.0
North Carolina,02/2014,629.0
North Carolina,03/2014,611.0
North Carolina,04/2014,570.0
North Carolina,05/2014,523.0
North Carolina,06/2014,541.0
North Carolina,07/2014,476.0
North Carolina,08/2014,471.0
North Carolina,09/2014,500.0
North Carolina,10/2014,533.0
North Carolina,11/2014,524.0
North Carolina,12/2014,707.0
South Carolina,01/2014,381.0
South Carolina,02/2014,332.0
South Carolina,03/2014,327.0
South Carolina,04/2014,267.0
South Carolina,05/2014,314.0
South Carolina,06/2014,221.0
South Carolina,07/2014,244.0
South Carolina,08/2014,261.0
South Carolina,09/2014,211.0
South Carolina,10/2014,229.0
South Carolina,11/2014,295.0
South Carolina,12/2014,384.0
Colorado,01/2014,356.0
Colorado,02/2014,280.0
Colorado,03/2014,294.0
Colorado,04/2014,272.0
Colorado,05/2014,237.0
Colorado,06/2014,222.0
Colorado,07/2014,190.0
Colorado,08/2014,207.0
Colorado,09/2014,235.0
Colorado,10/2014,231.0
Colorado,11/2014,239.0
Colorado,12/2014,389.0
Connecticut,01/2014,189.0
Connecticut,02/2014,194.0
Connecticut,03/2014,198.0
Connecticut,04/2014,234.0
Connecticut,05/2014,174.0
Connecticut,06/2014,147.0
Connecticut,07/2014,146.0
Connecticut,08/2014,140.0
Connecticut,09/2014,125.0
Connecticut,10/2014,155.0
Connecticut,11/2014,155.0
Connecticut,12/2014,155.0
North Dakota,01/2014,51.0
North Dakota,02/2014,31.0
North Dakota,03/2014,45.0
North Dakota,04/2014,44.0
North Dakota,05/2014,45.0
North Dakota,06/2014,28.0
North Dakota,07/2014,34.0
North Dakota,08/2014,28.0
North Dakota,09/2014,41.0
North Dakota,10/2014,46.0
North Dakota,11/2014,36.0
North Dakota,12/2014,62.0
South Dakota,01/2014,64.0
South Dakota,02/2014,58.0
South Dakota,03/2014,67.0
South Dakota,04/2014,55.0
South Dakota,05/2014,62.0
South Dakota,06/2014,31.0
South Dakota,07/2014,38.0
South Dakota,08/2014,50.0
South Dakota,09/2014,47.0
South Dakota,10/2014,40.0
South Dakota,11/2014,44.0
South Dakota,12/2014,66.0
Delaware,01/2014,64.0
Delaware,02/2014,63.0
Delaware,03/2014,51.0
Delaware,04/2014,66.0
Delaware,05/2014,49.0
Delaware,06/2014,54.0
Delaware,07/2014,44.0
Delaware,08/2014,41.0
Delaware,09/2014,32.0
Delaware,10/2014,53.0
Delaware,11/2014,50.0
Delaware,12/2014,47.0
Florida,01/2014,1387.0
Florida,02/2014,1255.0
Florida,03/2014,1226.0
Florida,04/2014,1164.0
Florida,05/2014,1159.0
Florida,06/2014,1068.0
Florida,07/2014,1058.0
Florida,08/2014,1031.0
Florida,09/2014,932.0
Florida,10/2014,1076.0
Florida,11/2014,1119.0
Florida,12/2014,1422.0
Georgia,01/2014,692.0
Georgia,02/2014,521.0
Georgia,03/2014,509.0
Georgia,04/2014,473.0
Georgia,05/2014,449.0
Georgia,06/2014,439.0
Georgia,07/2014,392.0
Georgia,08/2014,412.0
Georgia,09/2014,397.0
Georgia,10/2014,458.0
Georgia,11/2014,449.0
Georgia,12/2014,651.0
Hawaii,01/2014,80.0
Hawaii,02/2014,64.0
Hawaii,03/2014,69.0
Hawaii,04/2014,79.0
Hawaii,05/2014,52.0
Hawaii,06/2014,64.0
Hawaii,07/2014,61.0
Hawaii,08/2014,55.0
Hawaii,09/2014,54.0
Hawaii,10/2014,55.0
Hawaii,11/2014,52.0
Hawaii,12/2014,66.0
Idaho,01/2014,114.0
Idaho,02/2014,87.0
Idaho,03/2014,94.0
Idaho,04/2014,79.0
Idaho,05/2014,93.0
Idaho,06/2014,81.0
Idaho,07/2014,64.0
Idaho,08/2014,67.0
Idaho,09/2014,83.0
Idaho,10/2014,84.0
Idaho,11/2014,82.0
Idaho,12/2014,91.0
Rhode Island,01/2014,61.0
Rhode Island,02/2014,59.0
Rhode Island,03/2014,71.0
Rhode Island,04/2014,90.0
Rhode Island,05/2014,58.0
Rhode Island,06/2014,40.0
Rhode Island,07/2014,59.0
Rhode Island,08/2014,35.0
Rhode Island,09/2014,51.0
Rhode Island,10/2014,47.0
Rhode Island,11/2014,45.0
Rhode Island,12/2014,65.0
Illinois,01/2014,885.0
Illinois,02/2014,662.0
Illinois,03/2014,711.0
Illinois,04/2014,642.0
Illinois,05/2014,666.0
Illinois,06/2014,559.0
Illinois,07/2014,585.0
Illinois,08/2014,562.0
Illinois,09/2014,561.0
Illinois,10/2014,623.0
Illinois,11/2014,686.0
Illinois,12/2014,974.0
Indiana,01/2014,550.0
Indiana,02/2014,456.0
Indiana,03/2014,453.0
Indiana,04/2014,390.0
Indiana,05/2014,378.0
Indiana,06/2014,372.0
Indiana,07/2014,392.0
Indiana,08/2014,367.0
Indiana,09/2014,338.0
Indiana,10/2014,389.0
Indiana,11/2014,426.0
Indiana,12/2014,581.0
Iowa,01/2014,263.0
Iowa,02/2014,238.0
Iowa,03/2014,268.0
Iowa,04/2014,211.0
Iowa,05/2014,188.0
Iowa,06/2014,170.0
Iowa,07/2014,188.0
Iowa,08/2014,179.0
Iowa,09/2014,180.0
Iowa,10/2014,155.0
Iowa,11/2014,149.0
Iowa,12/2014,308.0
Kentucky,01/2014,483.0
Kentucky,02/2014,340.0
Kentucky,03/2014,366.0
Kentucky,04/2014,355.0
Kentucky,05/2014,317.0
Kentucky,06/2014,337.0
Kentucky,07/2014,335.0
Kentucky,08/2014,308.0
Kentucky,09/2014,298.0
Kentucky,10/2014,299.0
Kentucky,11/2014,294.0
Kentucky,12/2014,499.0
Louisiana,01/2014,426.0
Louisiana,02/2014,297.0
Louisiana,03/2014,266.0
Louisiana,04/2014,252.0
Louisiana,05/2014,241.0
Louisiana,06/2014,201.0
Louisiana,07/2014,226.0
Louisiana,08/2014,218.0
Louisiana,09/2014,166.0
Louisiana,10/2014,225.0
Louisiana,11/2014,238.0
Louisiana,12/2014,335.0
Maine,01/2014,97.0
Maine,02/2014,112.0
Maine,03/2014,109.0
Maine,04/2014,91.0
Maine,05/2014,99.0
Maine,06/2014,74.0
Maine,07/2014,92.0
Maine,08/2014,81.0
Maine,09/2014,88.0
Maine,10/2014,109.0
Maine,11/2014,88.0
Maine,12/2014,114.0
Maryland,01/2014,307.0
Maryland,02/2014,294.0
Maryland,03/2014,274.0
Maryland,04/2014,228.0
Maryland,05/2014,227.0
Maryland,06/2014,201.0
Maryland,07/2014,239.0
Maryland,08/2014,196.0
Maryland,09/2014,179.0
Maryland,10/2014,235.0
Maryland,11/2014,191.0
Maryland,12/2014,357.0
Massachusetts,01/2014,384.0
Massachusetts,02/2014,356.0
Massachusetts,03/2014,403.0
Massachusetts,04/2014,393.0
Massachusetts,05/2014,336.0
Massachusetts,06/2014,296.0
