State,Month,no2
Alabama,01/2014,12.899658027027028
Alabama,02/2014,8.851034102564102
Alabama,03/2014,13.212880728813557
Alabama,04/2014,11.379410683333333
Alabama,05/2014,12.718230419354839
Alabama,06/2014,10.967456550000001
Alabama,07/2014,10.05302769354839
Alabama,08/2014,12.351537322580647
Alabama,09/2014,11.264796083333334
Alabama,10/2014,13.401377096774194
Alabama,11/2014,12.365565216666665
Alabama,12/2014,11.786711322580643
Alaska,01/2014,0.0
Alaska,02/2014,0.0
Alaska,03/2014,0.0
Alaska,04/2014,0.0
Alaska,05/2014,0.0
Alaska,06/2014,0.0
Alaska,07/2014,2.63715264516129
Alaska,08/2014,3.300742064516129
Alaska,09/2014,12.159276
Alaska,10/2014,11.196054322580645
Alaska,11/2014,20.889223899999998
Alaska,12/2014,20.98963487096774
Arkansas,01/2014,10.27293364516129
Arkansas,02/2014,10.223721874999999
Arkansas,03/2014,10.816469951612904
Arkansas,04/2014,7.847031983333333
Arkansas,05/2014,7.142503935483871
Arkansas,06/2014,5.743760166666667
Arkansas,07/2014,6.747621822580646
Arkansas,08/2014,7.0049877903225815
Arkansas,09/2014,8.061759433333332
Arkansas,10/2014,8.711541645161288
Arkansas,11/2014,8.549110566666664
Arkansas,12/2014,8.754935677419352
Arizona,01/2014,25.07873469124424
Arizona,02/2014,21.55645141706161
Arizona,03/2014,16.75260227016129
Arizona,04/2014,14.079138268907561
Arizona,05/2014,12.088041441295545
Arizona,06/2014,12.098276821917807
Arizona,07/2014,7.974441302419355
Arizona,08/2014,9.473854688888888
Arizona,09/2014,11.10139168888889
Arizona,10/2014,17.438304781362007
Arizona,11/2014,18.104210811111113
Arizona,12/2014,18.32670140860215
California,01/2014,19.103346502014777
California,02/2014,12.087911083610804
California,03/2014,9.08855089118644
California,04/2014,8.092283395798034
California,05/2014,6.816172787449393
California,06/2014,5.922282809773124
California,07/2014,6.307747272246114
California,08/2014,6.810107873313589
California,09/2014,8.27065877044236
California,10/2014,12.238990849712827
California,11/2014,13.145483630753835
California,12/2014,11.504083681173757
Kansas,01/2014,9.4624179010989
Kansas,02/2014,11.034020142857141
Kansas,03/2014,8.157789891666665
Kansas,04/2014,6.69795375
Kansas,05/2014,5.691040296875
Kansas,06/2014,3.810419863945578
Kansas,07/2014,4.538035310810811
Kansas,08/2014,5.313267439189189
Kansas,09/2014,4.9061835167785235
Kansas,10/2014,5.9023379419354844
Kansas,11/2014,6.490503928571427
Kansas,12/2014,6.921544734848484
North Carolina,01/2014,11.634405726495727
North Carolina,02/2014,8.8100095625
North Carolina,03/2014,9.561790838709676
North Carolina,04/2014,6.828066714285714
North Carolina,05/2014,6.6157529919354845
North Carolina,06/2014,5.647005216666667
North Carolina,07/2014,5.565675877697841
North Carolina,08/2014,6.295743746478873
North Carolina,09/2014,5.494681537878788
North Carolina,10/2014,8.811351604166667
North Carolina,11/2014,10.888809381294964
North Carolina,12/2014,10.722161067415731
South Carolina,01/2014,7.6991397065217395
South Carolina,02/2014,6.837396146666666
South Carolina,03/2014,6.897453375
South Carolina,04/2014,3.5706006666666674
South Carolina,05/2014,3.0154718709677417
South Carolina,06/2014,3.94444725
South Carolina,07/2014,4.45298605
South Carolina,08/2014,4.7327526136363645
South Carolina,09/2014,4.262457755555555
South Carolina,10/2014,5.91664194623656
South Carolina,11/2014,7.484923277777778
South Carolina,12/2014,8.97188769047619
Colorado,01/2014,11.874097029126213
Colorado,02/2014,10.336477985611511
Colorado,03/2014,7.932330822580645
Colorado,04/2014,6.383039946666667
Colorado,05/2014,6.665473588815789
Colorado,06/2014,6.563147587188611
Colorado,07/2014,7.0270355185185185
Colorado,08/2014,7.800787648967551
Colorado,09/2014,7.783139006134969
Colorado,10/2014,10.06781245045045
Colorado,11/2014,11.858270707165108
Colorado,12/2014,14.60294561061947
Connecticut,01/2014,14.39967859868421
Connecticut,02/2014,16.632037417266186
Connecticut,03/2014,11.158320645161291
Connecticut,04/2014,7.891290453333334
Connecticut,05/2014,7.379044522580646
Connecticut,06/2014,6.783990466216216
Connecticut,07/2014,6.9569339870967735
Connecticut,08/2014,6.455162140845071
Connecticut,09/2014,7.195947371621622
Connecticut,10/2014,7.920749406451614
Connecticut,11/2014,11.998696147651007
Connecticut,12/2014,9.656602875
North Dakota,01/2014,3.6128154338235294
North Dakota,02/2014,3.8074009999999996
North Dakota,03/2014,2.8390969925650555
North Dakota,04/2014,2.4514274592592593
North Dakota,05/2014,2.8191844492753626
North Dakota,06/2014,2.9437257947761193
North Dakota,07/2014,2.339122189814815
North Dakota,08/2014,2.227830866359447
North Dakota,09/2014,2.231747823809524
North Dakota,10/2014,2.754366383512545
North Dakota,11/2014,3.243248333333333
North Dakota,12/2014,4.092262822641509
South Dakota,01/2014,4.625155060344826
South Dakota,02/2014,4.6163881785714285
South Dakota,03/2014,3.9828738387096774
South Dakota,04/2014,3.5863362583333336
South Dakota,05/2014,4.642287596774193
South Dakota,06/2014,3.224962241379311
South Dakota,07/2014,2.851586225806452
South Dakota,08/2014,2.94664029032258
South Dakota,09/2014,2.6927455499999997
South Dakota,10/2014,3.333895088709677
South Dakota,11/2014,4.501867341666666
South Dakota,12/2014,5.547157822580646
Delaware,01/2014,11.126064537634408
Delaware,02/2014,9.202800666666668
Delaware,03/2014,7.503471200000001
Delaware,04/2014,4.718363192771084
Delaware,05/2014,4.301570999999999
Delaware,06/2014,3.446316387096774
Delaware,07/2014,3.695737066666667
Delaware,08/2014,4.842049370967741
Delaware,09/2014,5.822620333333333
Delaware,10/2014,11.07863485185185
Delaware,11/2014,16.252348199999997
Delaware,12/2014,16.03900131034483
Florida,01/2014,7.518349302158273
Florida,02/2014,6.737814110204081
Florida,03/2014,5.534781372262773
Florida,04/2014,5.7254679846625764
Florida,05/2014,5.384656671641792
Florida,06/2014,5.27616675399361
Florida,07/2014,5.459710607250755
Florida,08/2014,5.632881183544304
Florida,09/2014,5.547042233333333
Florida,10/2014,8.434355734627832
Florida,11/2014,7.884643650847457
Florida,12/2014,9.779247871621621
Georgia,01/2014,8.525770655913979
Georgia,02/2014,8.133718785714285
Georgia,03/2014,7.078031365591398
Georgia,04/2014,5.991047522222224
Georgia,05/2014,5.231645747252747
Georgia,06/2014,6.906557849056603
Georgia,07/2014,8.594700266129035
Georgia,08/2014,8.673916096774194
Georgia,09/2014,7.207781327433628
Georgia,10/2014,8.390872088709678
Georgia,11/2014,9.860837266666666
Georgia,12/2014,9.845841370967742
Hawaii,01/2014,2.7928996129032257
Hawaii,02/2014,2.4412343703703705
Hawaii,03/2014,2.862151322580645
Hawaii,04/2014,3.8443551833333327
Hawaii,05/2014,2.5297623898305086
Hawaii,06/2014,2.2810465294117646
Hawaii,07/2014,2.6004434482758625
Hawaii,08/2014,2.8054162444444444
Hawaii,09/2014,2.4213090192307694
Hawaii,10/2014,2.917834575
Hawaii,11/2014,3.275443854545455
Hawaii,12/2014,3.831390338709678
Idaho,01/2014,13.843952580645162
Idaho,02/2014,13.38814542857143
Idaho,03/2014,11.141091064516129
Idaho,04/2014,11.3703877
Idaho,05/2014,7.615105070175439
Idaho,06/2014,6.769743266666666
Idaho,07/2014,9.820625419354837
Idaho,08/2014,10.485286354838708
Idaho,09/2014,11.273096300000002
Idaho,10/2014,13.635299935483872
Idaho,11/2014,14.640708366666667
Idaho,12/2014,10.783316516129034
Rhode Island,01/2014,13.928090451612906
Rhode Island,02/2014,14.548167410714285
Rhode Island,03/2014,8.229554376344087
Rhode Island,04/2014,8.833000333333333
Rhode Island,05/2014,8.136543887096774
Rhode Island,06/2014,7.673359188034189
Rhode Island,07/2014,7.479598532258064
Rhode Island,08/2014,8.169824833333333
Rhode Island,09/2014,8.746476141666667
Rhode Island,10/2014,9.219942241935483
Rhode Island,11/2014,16.303356911111113
Rhode Island,12/2014,14.941685978494624
Illinois,01/2014,17.270255317972353
Illinois,02/2014,21.282294276243093
Illinois,03/2014,17.217439981220657
Illinois,04/2014,13.091694647619049
Illinois,05/2014,11.30104013888889
Illinois,06/2014,11.048380504761903
Illinois,07/2014,10.765152569948187
Illinois,08/2014,11.731096447115384
Illinois,09/2014,13.768348130653267
Illinois,10/2014,12.873617649532708
Illinois,11/2014,13.47789676190476
Illinois,12/2014,14.876172304147465
Indiana,01/2014,9.875229066666666
Indiana,02/2014,15.683046014492753
Indiana,03/2014,11.203749301310044
Indiana,04/2014,10.135044253658537
Indiana,05/2014,7.678505301435407
Indiana,06/2014,6.737282786458334
Indiana,07/2014,7.665954158371042
Indiana,08/2014,7.962882303643726
Indiana,09/2014,9.692104540669856
Indiana,10/2014,8.664471124999999
Indiana,11/2014,9.02769722881356
Indiana,12/2014,10.540580745967741
Iowa,01/2014,7.398922155737705
Iowa,02/2014,9.092734276785714
Iowa,03/2014,6.469444983739838
Iowa,04/2014,5.519410580357142
Iowa,05/2014,5.239340008130082
Iowa,06/2014,4.444339158333333
Iowa,07/2014,4.614592035087719
Iowa,08/2014,4.923528282258063
Iowa,09/2014,5.077790008333333
Iowa,10/2014,6.090058661157025
Iowa,11/2014,6.018532316666667
Iowa,12/2014,7.004335694214876
Kentucky,01/2014,7.961596881720431
Kentucky,02/2014,9.315198648809522
Kentucky,03/2014,7.602446377358491
Kentucky,04/2014,5.330085193333333
Kentucky,05/2014,5.095948158823529
Kentucky,06/2014,5.524374672222222
Kentucky,07/2014,5.274208994623655
Kentucky,08/2014,6.330115682291667
Kentucky,09/2014,7.138678738095238
Kentucky,10/2014,7.228443170506913
Kentucky,11/2014,7.348581541062802
Kentucky,12/2014,7.626464161290323
Louisiana,01/2014,9.674082065146582
Louisiana,02/2014,8.824751752727273
Louisiana,03/2014,8.014429273291926
Louisiana,04/2014,6.142680531055901
Louisiana,05/2014,6.456637032258064
Louisiana,06/2014,5.124065296636085
Louisiana,07/2014,4.926007301775148
Louisiana,08/2014,5.358607184126985
Louisiana,09/2014,5.709668489028213
Louisiana,10/2014,7.736135671554253
Louisiana,11/2014,8.041263200626961
Louisiana,12/2014,8.352747190909092
Maine,01/2014,8.25936635483871
Maine,02/2014,8.585054976190477
Maine,03/2014,6.386693306666667
Maine,04/2014,3.900916348314607
Maine,05/2014,2.657893182795699
Maine,06/2014,2.6775314555555556
Maine,07/2014,2.6100873440860215
Maine,08/2014,2.948317397849462
Maine,09/2014,3.053282822222222
Maine,10/2014,3.2987775806451616
Maine,11/2014,5.484833633333334
Maine,12/2014,5.0741177258064525
Maryland,01/2014,13.081617170731707
Maryland,02/2014,13.561448065420562
Maryland,03/2014,11.93060435897436
Maryland,04/2014,10.684734940000002
Maryland,05/2014,8.977912716129033
Maryland,06/2014,8.928883886666668
Maryland,07/2014,9.073825219354838
Maryland,08/2014,8.82608073548387
Maryland,09/2014,9.274702471830985
Maryland,10/2014,9.898290303225806
Maryland,11/2014,12.269213853333332
Maryland,12/2014,13.101763225806453
Massachusetts,01/2014,14.06723602425876
Massachusetts,02/2014,15.505264898809523
Massachusetts,03/2014,12.261245341530055
Massachusetts,04/2014,9.258398369444444
Massachusetts,05/2014,8.29550476344086
Massachusetts,06/2014,7.819351127118643
Massachusetts,07/2014,7.5658802199413495
Massachusetts,08/2014,7.393577082840236
Massachusetts,09/2014,8.093829342424243
Massachusetts,10/2014,8.724169078616352
Massachusetts,11/2014,12.332845469594593
Massachusetts,12/2014,10.976008602605864
Michigan,01/2014,12.044489073825503
Michigan,02/2014,15.166683585714289
Michigan,03/2014,11.98390089032258
Michigan,04/2014,9.008649851851853
Michigan,05/2014,8.07035248051948
Michigan,06/2014,8.017684409395974
Michigan,07/2014,7.094458986842106
Michigan,08/2014,7.61174910967742
Michigan,09/2014,8.721200194630873
Michigan,10/2014,9.375553412903226
Michigan,11/2014,9.848429344594594
Michigan,12/2014,10.860790035714285
Minnesota,01/2014,12.802117685483871
Minnesota,02/2014,14.555182705357142
Minnesota,03/2014,11.248496169354839
Minnesota,04/2014,8.405038866666667
Minnesota,05/2014,8.199351854838708
Minnesota,06/2014,7.067786766666667
Minnesota,07/2014,6.989098593495935
Minnesota,08/2014,6.937736032258065
Minnesota,09/2014,7.022685766666666
Minnesota,10/2014,9.206367959677422
Minnesota,11/2014,9.665440866666666
Minnesota,12/2014,9.865607741935484
Mississippi,01/2014,5.884986580645161
Mississippi,02/2014,4.645827928571428
Mississippi,03/2014,4.0459454193548385
Mississippi,04/2014,2.892640299999999
Mississippi,05/2014,2.698903483870968
Mississippi,06/2014,2.4039588666666662
Mississippi,07/2014,4.092862838709677
Mississippi,08/2014,4.0194739354838696
Mississippi,09/2014,4.446511466666667
Mississippi,10/2014,5.833963000000001
Mississippi,11/2014,6.5096219
Mississippi,12/2014,5.852232129032258
Missouri,01/2014,13.702457435754189
Missouri,02/2014,16.57555293902439
Missouri,03/2014,14.56375724193548
Missouri,04/2014,12.457079644444445
Missouri,05/2014,11.248574134831461
Missouri,06/2014,9.239987133333335
Missouri,07/2014,9.624747812182742
Missouri,08/2014,9.940478161290322
Missouri,09/2014,11.944710695238093
Missouri,10/2014,12.03070460829493
Missouri,11/2014,11.597913342857144
Missouri,12/2014,11.466446829493087
Montana,01/2014,1.3910954615384616
Montana,02/2014,1.599087299107143
Montana,03/2014,1.3218458860294116
Montana,04/2014,1.360903084
Montana,05/2014,1.9422503744680852
Montana,06/2014,1.4358955416666668
Montana,07/2014,1.8255059280000003
Montana,08/2014,1.75312473992674
Montana,09/2014,1.1256449589552238
Montana,10/2014,1.3137944499999998
Montana,11/2014,1.4412865803921568
Montana,12/2014,1.0998134471544712
Nebraska,01/2014,0.0
Nebraska,02/2014,0.0
Nebraska,03/2014,0.0
Nebraska,04/2014,0.0
Nebraska,05/2014,0.0
Nebraska,06/2014,0.0
Nebraska,07/2014,0.0
Nebraska,08/2014,0.0
Nebraska,09/2014,0.0
Nebraska,10/2014,0.0
Nebraska,11/2014,0.0
Nebraska,12/2014,0.0
Nevada,01/2014,17.82629805691057
Nevada,02/2014,13.462436811320757
Nevada,03/2014,10.63823683064516
Nevada,04/2014,9.87235193162393
Nevada,05/2014,6.881064700854701
