State,Month,pressure
Alabama,01/2017,998.4038773456791
Alabama,02/2017,999.6304511309526
Alabama,03/2017,1003.7892204193547
Alabama,04/2017,998.4827946444444
Alabama,05/2017,996.5414348387096
Alabama,06/2017,997.9131758888889
Alabama,07/2017,999.7373149354839
Alabama,08/2017,998.5969346989249
Alabama,09/2017,998.1876009888889
Alabama,10/2017,1000.6810035698924
Alabama,11/2017,1002.3501557222223
Alabama,12/2017,1003.6421147204303
Alaska,01/2017,751.4661056451614
Alaska,02/2017,749.0654761071429
Alaska,03/2017,753.4112318387096
Alaska,04/2017,747.0763888666664
Alaska,05/2017,746.0000000645161
Alaska,06/2017,744.9848574827588
Alaska,07/2017,748.188990129032
Alaska,08/2017,743.9019986129032
Alaska,09/2017,1011.5515214642858
Alaska,10/2017,867.2594619999999
Alaska,11/2017,873.4823816833334
Alaska,12/2017,870.3724258548388
Arkansas,01/2017,0.0
Arkansas,02/2017,0.0
Arkansas,03/2017,0.0
Arkansas,04/2017,0.0
Arkansas,05/2017,0.0
Arkansas,06/2017,0.0
Arkansas,07/2017,0.0
Arkansas,08/2017,0.0
Arkansas,09/2017,0.0
Arkansas,10/2017,0.0
Arkansas,11/2017,0.0
Arkansas,12/2017,0.0
Arizona,01/2017,0.0
Arizona,02/2017,0.0
Arizona,03/2017,0.0
Arizona,04/2017,0.0
Arizona,05/2017,0.0
Arizona,06/2017,0.0
Arizona,07/2017,0.0
Arizona,08/2017,0.0
Arizona,09/2017,0.0
Arizona,10/2017,0.0
Arizona,11/2017,0.0
Arizona,12/2017,0.0
California,01/2017,974.526891353024
California,02/2017,973.6748318393268
California,03/2017,975.7177520316586
California,04/2017,973.437945064164
California,05/2017,970.8362794897959
California,06/2017,970.0130753587475
California,07/2017,971.1441780615894
California,08/2017,969.5914197837657
California,09/2017,969.565223473503
California,10/2017,971.3707424639731
California,11/2017,973.0635960422344
California,12/2017,976.3837545960398
Kansas,01/2017,0.0
Kansas,02/2017,0.0
Kansas,03/2017,0.0
Kansas,04/2017,0.0
Kansas,05/2017,0.0
Kansas,06/2017,0.0
Kansas,07/2017,0.0
Kansas,08/2017,0.0
Kansas,09/2017,0.0
Kansas,10/2017,0.0
Kansas,11/2017,0.0
Kansas,12/2017,0.0
North Carolina,01/2017,988.2189515806454
North Carolina,02/2017,987.8944196607143
North Carolina,03/2017,992.6676075
North Carolina,04/2017,988.3782745333333
North Carolina,05/2017,984.4315498225807
North Carolina,06/2017,985.8594940999998
North Carolina,07/2017,985.6781585645161
North Carolina,08/2017,986.1144401612903
North Carolina,09/2017,985.9262464
North Carolina,10/2017,988.3831988870968
North Carolina,11/2017,989.0213889333334
North Carolina,12/2017,988.0987903225806
South Carolina,01/2017,0.0
South Carolina,02/2017,0.0
South Carolina,03/2017,0.0
South Carolina,04/2017,0.0
South Carolina,05/2017,0.0
South Carolina,06/2017,0.0
South Carolina,07/2017,0.0
South Carolina,08/2017,0.0
South Carolina,09/2017,0.0
South Carolina,10/2017,0.0
South Carolina,11/2017,0.0
South Carolina,12/2017,0.0
Colorado,01/2017,785.388729064516
Colorado,02/2017,785.6011400877195
Colorado,03/2017,797.1316747032258
Colorado,04/2017,794.3084879133332
Colorado,05/2017,795.6304684967743
Colorado,06/2017,797.4915969266667
Colorado,07/2017,801.5907372645162
Colorado,08/2017,800.7338923290323
Colorado,09/2017,798.35940178
Colorado,10/2017,798.6113167354839
Colorado,11/2017,797.7873103733334
Colorado,12/2017,799.360781716129
Connecticut,01/2017,1000.9441331451613
Connecticut,02/2017,998.5396933392857
Connecticut,03/2017,1004.6338433763441
Connecticut,04/2017,1001.6415803426968
Connecticut,05/2017,998.0070134892474
Connecticut,06/2017,998.9242965444444
Connecticut,07/2017,1000.606406827957
Connecticut,08/2017,1002.4772205
Connecticut,09/2017,1002.1423949333334
Connecticut,10/2017,1005.7295823297296
Connecticut,11/2017,1005.4186267388887
Connecticut,12/2017,1003.3699590543478
North Dakota,01/2017,946.4358401827956
North Dakota,02/2017,944.1394600793651
North Dakota,03/2017,949.5019639749105
North Dakota,04/2017,946.6623558432835
North Dakota,05/2017,945.0844322114697
North Dakota,06/2017,940.2986716814814
North Dakota,07/2017,949.274155953125
North Dakota,08/2017,949.7422037446042
North Dakota,09/2017,947.934278088889
North Dakota,10/2017,945.6857853870966
North Dakota,11/2017,946.8467066740742
North Dakota,12/2017,950.7306376272401
South Dakota,01/2017,0.0
South Dakota,02/2017,0.0
South Dakota,03/2017,0.0
South Dakota,04/2017,0.0
South Dakota,05/2017,0.0
South Dakota,06/2017,0.0
South Dakota,07/2017,0.0
South Dakota,08/2017,0.0
South Dakota,09/2017,0.0
South Dakota,10/2017,0.0
South Dakota,11/2017,0.0
South Dakota,12/2017,0.0
Delaware,01/2017,0.0
Delaware,02/2017,0.0
Delaware,03/2017,0.0
Delaware,04/2017,0.0
Delaware,05/2017,0.0
Delaware,06/2017,0.0
Delaware,07/2017,0.0
Delaware,08/2017,0.0
Delaware,09/2017,0.0
Delaware,10/2017,0.0
Delaware,11/2017,0.0
Delaware,12/2017,0.0
Florida,01/2017,1017.1901881774194
Florida,02/2017,1015.580357125
Florida,03/2017,1019.3466199107144
Florida,04/2017,1014.2954493666667
Florida,05/2017,1011.367684237288
Florida,06/2017,1013.4184458928572
Florida,07/2017,1014.774924032258
Florida,08/2017,1013.1521739516129
Florida,09/2017,1011.291402631579
Florida,10/2017,1016.3419914642857
Florida,11/2017,1017.3317633333334
Florida,12/2017,1019.0837034193547
Georgia,01/2017,999.342944032258
Georgia,02/2017,998.7029324196428
Georgia,03/2017,1002.7013457983871
Georgia,04/2017,997.1758289333334
Georgia,05/2017,994.3181372419355
Georgia,06/2017,996.3673969830509
Georgia,07/2017,997.5558167741935
Georgia,08/2017,996.9710752983872
Georgia,09/2017,996.6968889391304
Georgia,10/2017,999.5891586048388
Georgia,11/2017,1000.731042775
Georgia,12/2017,1001.2314017741935
Hawaii,01/2017,879.5565738387098
Hawaii,02/2017,878.5416666428572
Hawaii,03/2017,880.4959677741938
Hawaii,04/2017,879.7361111333333
Hawaii,05/2017,880.3857526774193
Hawaii,06/2017,879.9469551538461
Hawaii,07/2017,880.2258064838709
Hawaii,08/2017,879.7298387419356
Hawaii,09/2017,878.9624999333332
Hawaii,10/2017,877.6357527096774
Hawaii,11/2017,878.1708333000001
Hawaii,12/2017,877.1236560000001
Idaho,01/2017,924.9283279803493
Idaho,02/2017,919.7958979331743
Idaho,03/2017,923.6893914279476
Idaho,04/2017,922.2545004311111
Idaho,05/2017,922.0491029039301
Idaho,06/2017,919.1003821404762
Idaho,07/2017,920.5730304631336
Idaho,08/2017,921.0680458216705
Idaho,09/2017,923.7009538348213
Idaho,10/2017,926.586625995699
Idaho,11/2017,923.0365462377779
Idaho,12/2017,931.5078317634408
Rhode Island,01/2017,1006.8737519032258
Rhode Island,02/2017,1004.2850553214286
Rhode Island,03/2017,1009.9616935000001
Rhode Island,04/2017,1008.5680555333333
Rhode Island,05/2017,1004.782396442623
Rhode Island,06/2017,1005.6006944333334
Rhode Island,07/2017,1007.2264784838708
Rhode Island,08/2017,1009.0793303064517
Rhode Island,09/2017,1008.47669085
