State,Month,so2
Alabama,01/2017,1.4807137185430463
Alabama,02/2017,1.5659404392857146
Alabama,03/2017,1.6157989013605443
Alabama,04/2017,1.3976795166666667
Alabama,05/2017,1.5925515387096774
Alabama,06/2017,0.7731994160839162
Alabama,07/2017,1.2520494870967742
Alabama,08/2017,1.18184762992126
Alabama,09/2017,1.2047494448529412
Alabama,10/2017,1.3576980809859154
Alabama,11/2017,1.0209780507246378
Alabama,12/2017,1.4360434350649351
Alaska,01/2017,12.959790548387096
Alaska,02/2017,10.04755525
Alaska,03/2017,9.178954806451612
Alaska,04/2017,3.2858310862068967
Alaska,05/2017,1.3394540322580644
Alaska,06/2017,1.9570089166666664
Alaska,07/2017,2.6465548387096773
Alaska,08/2017,3.123697000000001
Alaska,09/2017,3.6689403166666668
Alaska,10/2017,3.5505945806451615
Alaska,11/2017,7.18795024137931
Alaska,12/2017,10.997549677419354
Arkansas,01/2017,0.5667271129032259
Arkansas,02/2017,0.48157044642857144
Arkansas,03/2017,0.4073803225806452
Arkansas,04/2017,0.44652379999999997
Arkansas,05/2017,0.49572730645161284
Arkansas,06/2017,0.5558669666666667
Arkansas,07/2017,0.7479183225806452
Arkansas,08/2017,0.6662215806451613
Arkansas,09/2017,0.5805361333333333
Arkansas,10/2017,0.7388000806451614
Arkansas,11/2017,0.7786166666666667
Arkansas,12/2017,0.7368917741935483
Arizona,01/2017,2.7505779246861928
Arizona,02/2017,3.7465197623318387
Arizona,03/2017,3.127251574596774
Arizona,04/2017,1.9574198437499999
Arizona,05/2017,1.1594659441747572
Arizona,06/2017,1.1534589537444933
Arizona,07/2017,1.2084755371549893
Arizona,08/2017,3.2917390463709677
Arizona,09/2017,2.688569235169491
Arizona,10/2017,3.127428983796296
Arizona,11/2017,1.8502473109452735
Arizona,12/2017,2.771364331632653
California,01/2017,0.4263364187058184
California,02/2017,0.42873229764705884
California,03/2017,0.3821131717171717
California,04/2017,0.3454282874720358
California,05/2017,0.3407522406015038
California,06/2017,0.49480866107200866
California,07/2017,0.5280148779569893
California,08/2017,0.5094115721205597
California,09/2017,0.4671358207656613
California,10/2017,0.5366233101228788
California,11/2017,0.4558310034562212
California,12/2017,0.6077917062146893
Kansas,01/2017,0.9411688237704918
Kansas,02/2017,0.884921236607143
Kansas,03/2017,1.0135985
Kansas,04/2017,0.9596486833333334
Kansas,05/2017,1.1265151653225807
Kansas,06/2017,1.1429484912280703
Kansas,07/2017,1.1483573361702126
Kansas,08/2017,0.809380350515464
Kansas,09/2017,0.8685044083333333
Kansas,10/2017,0.7869158729508197
Kansas,11/2017,0.7022201396396396
Kansas,12/2017,0.775797470338983
North Carolina,01/2017,0.6930516331210193
North Carolina,02/2017,0.7517136629213483
North Carolina,03/2017,0.7940292227912933
North Carolina,04/2017,1.2610737378917378
North Carolina,05/2017,0.39428058681022876
North Carolina,06/2017,0.4264776822033898
North Carolina,07/2017,0.461502647696477
North Carolina,08/2017,0.5290092870748299
North Carolina,09/2017,0.564537274928775
North Carolina,10/2017,0.9944409130434784
North Carolina,11/2017,1.3222256472222222
North Carolina,12/2017,1.125874398639456
South Carolina,01/2017,0.21658676958525347
South Carolina,02/2017,0.2506046657303371
South Carolina,03/2017,0.17616066581632653
South Carolina,04/2017,0.2933571262135922
South Carolina,05/2017,0.34834144634146347
South Carolina,06/2017,0.11441046173469387
South Carolina,07/2017,0.11195922872340426
South Carolina,08/2017,0.16483119607843136
South Carolina,09/2017,0.1944407596685083
South Carolina,10/2017,0.2725900196078432
South Carolina,11/2017,0.2714404380952381
South Carolina,12/2017,0.25921423023255813
Colorado,01/2017,1.4163394344262294
Colorado,02/2017,0.9883508303571428
Colorado,03/2017,0.8823758306451613
Colorado,04/2017,0.6212842627118644
Colorado,05/2017,0.8267213225806451
Colorado,06/2017,0.9075395266666667
Colorado,07/2017,0.8955546967741936
Colorado,08/2017,0.6630369741935485
Colorado,09/2017,0.7759889761092151
Colorado,10/2017,0.7003793256578948
Colorado,11/2017,1.0420005937499999
Colorado,12/2017,0.889716229032258
Connecticut,01/2017,0.3634046491935483
Connecticut,02/2017,0.38428464732142853
Connecticut,03/2017,0.24558197983870966
Connecticut,04/2017,0.17143384659090907
Connecticut,05/2017,0.11561919892473119
Connecticut,06/2017,0.1383229
Connecticut,07/2017,0.10410143548387098
Connecticut,08/2017,0.09475505376344086
Connecticut,09/2017,0.08324361666666666
Connecticut,10/2017,0.20015735326086956
Connecticut,11/2017,0.3515573277777778
Connecticut,12/2017,0.4812105989010989
North Dakota,01/2017,0.8764017101593626
North Dakota,02/2017,0.7498251512605042
North Dakota,03/2017,0.6373207466793169
North Dakota,04/2017,0.5380064450980392
North Dakota,05/2017,0.6853454183070865
North Dakota,06/2017,0.8216558579881656
North Dakota,07/2017,0.7683483463983051
North Dakota,08/2017,0.7981309519918285
North Dakota,09/2017,0.9297899187499998
North Dakota,10/2017,1.0158657756788665
North Dakota,11/2017,0.7117404859241127
North Dakota,12/2017,1.0450758137254903
South Dakota,01/2017,0.6121428145161291
South Dakota,02/2017,0.46095794642857146
South Dakota,03/2017,0.5100227056451613
South Dakota,04/2017,0.3373305541666667
South Dakota,05/2017,0.3347412096774193
South Dakota,06/2017,0.3838005583333333
South Dakota,07/2017,0.47210109677419354
South Dakota,08/2017,0.5363533455284551
South Dakota,09/2017,0.4557823922413794
South Dakota,10/2017,0.24095619047619052
South Dakota,11/2017,0.3899442647058823
South Dakota,12/2017,0.45627341935483867
Delaware,01/2017,0.3188669566666667
Delaware,02/2017,0.34555366785714287
Delaware,03/2017,0.285232198630137
Delaware,04/2017,0.19600831543624161
Delaware,05/2017,0.19260535064935067
Delaware,06/2017,0.18781743959731542
