State,Month,temp
Alabama,01/2017,54.86664397530864
Alabama,02/2017,57.54526682142856
Alabama,03/2017,59.847275967741936
Alabama,04/2017,69.27440235555555
Alabama,05/2017,71.63534949462367
Alabama,06/2017,76.30203702222222
Alabama,07/2017,80.86091439784947
Alabama,08/2017,79.1916976451613
Alabama,09/2017,74.19562713333333
Alabama,10/2017,66.78938177419357
Alabama,11/2017,57.22933503333333
Alabama,12/2017,47.86536740860216
Alaska,01/2017,-2.097267010752688
Alaska,02/2017,6.831944440476191
Alaska,03/2017,1.9206717096774193
Alaska,04/2017,36.49351851111111
Alaska,05/2017,48.56760751612903
Alaska,06/2017,55.581001845238106
Alaska,07/2017,63.3371863763441
Alaska,08/2017,56.30231007526883
Alaska,09/2017,47.821033684523805
Alaska,10/2017,32.62610729032258
Alaska,11/2017,10.087540644444445
Alaska,12/2017,14.966409360215053
Arkansas,01/2017,49.1344085483871
Arkansas,02/2017,56.267857178571425
Arkansas,03/2017,59.737903290322585
Arkansas,04/2017,68.41343003333334
Arkansas,05/2017,72.47177412903226
Arkansas,06/2017,79.89583326666666
Arkansas,07/2017,85.4166666451613
Arkansas,08/2017,80.51881725806453
Arkansas,09/2017,77.62777773333332
Arkansas,10/2017,66.70483864516127
Arkansas,11/2017,57.240277799999994
Arkansas,12/2017,45.00268819354839
Arizona,01/2017,49.09136184677419
Arizona,02/2017,55.942212566964294
Arizona,03/2017,64.64051704233871
Arizona,04/2017,67.7952381
Arizona,05/2017,73.70686525866051
Arizona,06/2017,87.31443862529832
Arizona,07/2017,83.98152240801888
Arizona,08/2017,83.83723465668203
Arizona,09/2017,79.3877449357143
Arizona,10/2017,73.45509716532257
Arizona,11/2017,64.88227852192067
Arizona,12/2017,53.34513809475807
California,01/2017,47.99478152899009
California,02/2017,52.40682772571964
California,03/2017,57.79028319769634
California,04/2017,60.27926720981099
California,05/2017,65.38845947600805
California,06/2017,73.38591167365392
California,07/2017,78.4173966165937
California,08/2017,77.20274799564011
California,09/2017,71.61932897484662
California,10/2017,65.29915010645097
California,11/2017,58.06918325411765
California,12/2017,51.36934790378647
Kansas,01/2017,35.001344129032255
Kansas,02/2017,47.080163000000006
Kansas,03/2017,50.59034599999999
Kansas,04/2017,59.4638889
Kansas,05/2017,66.83467741935483
Kansas,06/2017,77.04306366666667
Kansas,07/2017,81.47936061290322
Kansas,08/2017,74.05954883870967
Kansas,09/2017,73.43926773333332
Kansas,10/2017,60.22820241935484
Kansas,11/2017,48.20138886666667
Kansas,12/2017,35.41666658064517
North Carolina,01/2017,45.35680756989247
North Carolina,02/2017,51.046936107142855
North Carolina,03/2017,50.6826564265233
North Carolina,04/2017,63.551708874074066
North Carolina,05/2017,67.2237659283154
North Carolina,06/2017,72.87307093703704
North Carolina,07/2017,77.54294968592058
North Carolina,08/2017,74.95056976727274
North Carolina,09/2017,69.36070971923078
North Carolina,10/2017,61.159427910394264
North Carolina,11/2017,49.226697548148145
North Carolina,12/2017,41.328878605734765
South Carolina,01/2017,52.16975803225806
South Carolina,02/2017,56.89999996428571
South Carolina,03/2017,56.43994306451613
South Carolina,04/2017,68.35859303333334
South Carolina,05/2017,72.37215061290323
South Carolina,06/2017,78.17224203333333
South Carolina,07/2017,81.01505370967743
South Carolina,08/2017,80.04257832258062
South Carolina,09/2017,74.8711973
South Carolina,10/2017,66.4138888
South Carolina,11/2017,51.15424554166666
South Carolina,12/2017,47.8168010967742
Colorado,01/2017,28.565787661417325
Colorado,02/2017,38.340822440356746
Colorado,03/2017,46.38611104089581
Colorado,04/2017,47.52099642941177
Colorado,05/2017,54.64735308126196
Colorado,06/2017,69.03274223523523
Colorado,07/2017,72.47053040273704
Colorado,08/2017,68.01173944412331
Colorado,09/2017,61.524228230845765
Colorado,10/2017,48.17225841427155
Colorado,11/2017,43.275568034588
Colorado,12/2017,31.993505450803212
Connecticut,01/2017,35.932673669833726
Connecticut,02/2017,37.707462301020406
Connecticut,03/2017,36.15811134731935
Connecticut,04/2017,52.31417709808612
Connecticut,05/2017,57.4366864124424
Connecticut,06/2017,67.87131491566265
Connecticut,07/2017,72.53793194883721
Connecticut,08/2017,70.77787143822843
Connecticut,09/2017,66.9858610909091
Connecticut,10/2017,60.5530930575
Connecticut,11/2017,43.932682364102575
Connecticut,12/2017,32.28356513715711
North Dakota,01/2017,13.407805768472906
North Dakota,02/2017,22.306212672634274
North Dakota,03/2017,30.08963056177156
North Dakota,04/2017,43.33811748444444
North Dakota,05/2017,56.11309452903226
North Dakota,06/2017,65.11920403703704
North Dakota,07/2017,74.1560220967742
North Dakota,08/2017,66.25695744341802
North Dakota,09/2017,58.20152447857143
North Dakota,10/2017,44.71990415591398
North Dakota,11/2017,27.66819967777778
North Dakota,12/2017,16.531333241935485
South Dakota,01/2017,25.4926491827957
South Dakota,02/2017,40.025720273809526
South Dakota,03/2017,42.426887888888885
South Dakota,04/2017,48.22453707777779
South Dakota,05/2017,59.74511239784948
South Dakota,06/2017,68.73588706451613
South Dakota,07/2017,78.20484130666668
South Dakota,08/2017,69.31375644086022
South Dakota,09/2017,64.13114293333332
South Dakota,10/2017,51.32120469892473
South Dakota,11/2017,39.51925961111111
South Dakota,12/2017,26.987163021505378
Delaware,01/2017,38.95295696774194
Delaware,02/2017,44.07886907142857
Delaware,03/2017,41.94284719354839
Delaware,04/2017,59.67777783333333
Delaware,05/2017,62.65188180645162
Delaware,06/2017,74.65277786666667
Delaware,07/2017,78.41427070967744
Delaware,08/2017,74.46587187096775
Delaware,09/2017,70.48073670000001
Delaware,10/2017,65.4336125263158
Delaware,11/2017,46.333333294117644
Delaware,12/2017,36.15860212903226
Florida,01/2017,63.68817205645161
Florida,02/2017,66.50372023214285
Florida,03/2017,67.3538236440678
Florida,04/2017,73.69498183333334
Florida,05/2017,77.71920214049587
Florida,06/2017,80.3356821551724
Florida,07/2017,82.03417483870967
Florida,08/2017,82.57584255645162
Florida,09/2017,80.8510134
Florida,10/2017,75.15575023333332
Florida,11/2017,68.71865651764706
Florida,12/2017,62.97474587356321
Georgia,01/2017,50.92834438011696
Georgia,02/2017,54.41236844642857
Georgia,03/2017,56.11457402688172
Georgia,04/2017,66.2951657
Georgia,05/2017,69.98336856989248
Georgia,06/2017,75.04145030337078
Georgia,07/2017,78.6658477688172
Georgia,08/2017,77.15769764516128
Georgia,09/2017,71.86155383333333
Georgia,10/2017,63.89888188709678
Georgia,11/2017,53.818278811111114
Georgia,12/2017,46.28689582795699
Hawaii,01/2017,56.82309938596491
Hawaii,02/2017,61.86045039473685
Hawaii,03/2017,65.68055555913978
Hawaii,04/2017,65.20879627777778
Hawaii,05/2017,67.14278080769229
Hawaii,06/2017,69.8112117101449
Hawaii,07/2017,69.46460574193549
Hawaii,08/2017,69.33130192473119
Hawaii,09/2017,68.3618687
Hawaii,10/2017,69.31344552702703
Hawaii,11/2017,67.61319443333333
