State,Month,no2
Alabama,01/2017,10.455410131147541
Alabama,02/2017,10.868912803571428
Alabama,03/2017,9.829702096774193
Alabama,04/2017,10.86716948
Alabama,05/2017,8.064481483870969
Alabama,06/2017,8.185682480769232
Alabama,07/2017,9.419733145161292
Alabama,08/2017,9.345029967741937
Alabama,09/2017,10.130283149999999
Alabama,10/2017,10.346377000000002
Alabama,11/2017,12.865506100000001
Alabama,12/2017,10.969239241935485
Alaska,01/2017,27.28433525806452
Alaska,02/2017,23.105073000000004
Alaska,03/2017,22.880071161290317
Alaska,04/2017,7.041548703703704
Alaska,05/2017,4.016323129032258
Alaska,06/2017,2.9724209999999993
Alaska,07/2017,3.177487677419355
Alaska,08/2017,4.000532137931035
Alaska,09/2017,6.120881833333332
Alaska,10/2017,9.380641161290322
Alaska,11/2017,17.513428466666667
Alaska,12/2017,22.398834178571427
Arkansas,01/2017,7.382334758064515
Arkansas,02/2017,7.9377646607142855
Arkansas,03/2017,6.886862241935484
Arkansas,04/2017,5.757694833333335
Arkansas,05/2017,5.780208048387098
Arkansas,06/2017,5.8156552333333345
Arkansas,07/2017,5.672684274193549
Arkansas,08/2017,6.4929997049180335
Arkansas,09/2017,7.846062233333332
Arkansas,10/2017,8.398561258064516
Arkansas,11/2017,10.253779416666667
Arkansas,12/2017,9.839834645161288
Arizona,01/2017,18.770081576612906
Arizona,02/2017,17.85035952534562
Arizona,03/2017,17.76656222222222
Arizona,04/2017,14.710580817391303
Arizona,05/2017,11.802503978448275
Arizona,06/2017,11.849445557939912
Arizona,07/2017,8.714304907258065
Arizona,08/2017,11.774435230769232
Arizona,09/2017,12.863505365638767
Arizona,10/2017,19.540830891129033
Arizona,11/2017,22.904540829166663
Arizona,12/2017,23.269315177419355
California,01/2017,10.3902160128688
California,02/2017,9.098168339602926
California,03/2017,9.93646123913733
California,04/2017,7.4276372259868415
California,05/2017,6.684820017645172
California,06/2017,6.963676860860861
California,07/2017,6.901474534891375
California,08/2017,7.701846275081967
California,09/2017,8.737983217613056
California,10/2017,12.767097210421506
California,11/2017,13.209052722654926
California,12/2017,17.81719151272352
Kansas,01/2017,6.110783823529412
Kansas,02/2017,5.929556157142857
Kansas,03/2017,4.812266283870968
Kansas,04/2017,4.179428473333334
Kansas,05/2017,4.685976574193548
Kansas,06/2017,3.9835852647058827
Kansas,07/2017,4.396382453125
Kansas,08/2017,4.325567617021276
Kansas,09/2017,4.755011333333333
Kansas,10/2017,4.403175493150686
Kansas,11/2017,6.054602593333334
Kansas,12/2017,6.009197425806451
