State,Month,Deaths
Alabama,01/2017,454.0
Alabama,02/2017,477.0
Alabama,03/2017,440.0
Alabama,04/2017,385.0
Alabama,05/2017,345.0
Alabama,06/2017,315.0
Alabama,07/2017,332.0
Alabama,08/2017,356.0
Alabama,09/2017,335.0
Alabama,10/2017,354.0
Alabama,11/2017,354.0
Alabama,12/2017,513.0
Alaska,01/2017,24.0
Alaska,02/2017,23.0
Alaska,03/2017,26.0
Alaska,04/2017,28.0
Alaska,05/2017,11.0
Alaska,06/2017,18.0
Alaska,07/2017,18.0
Alaska,08/2017,22.0
Alaska,09/2017,20.0
Alaska,10/2017,27.0
Alaska,11/2017,25.0
Alaska,12/2017,28.0
Arkansas,01/2017,294.0
Arkansas,02/2017,350.0
Arkansas,03/2017,292.0
Arkansas,04/2017,277.0
Arkansas,05/2017,270.0
Arkansas,06/2017,235.0
Arkansas,07/2017,240.0
Arkansas,08/2017,204.0
Arkansas,09/2017,230.0
Arkansas,10/2017,205.0
Arkansas,11/2017,244.0
Arkansas,12/2017,396.0
Arizona,01/2017,452.0
Arizona,02/2017,426.0
Arizona,03/2017,474.0
Arizona,04/2017,411.0
Arizona,05/2017,374.0
Arizona,06/2017,355.0
Arizona,07/2017,316.0
Arizona,08/2017,320.0
Arizona,09/2017,314.0
Arizona,10/2017,315.0
Arizona,11/2017,385.0
Arizona,12/2017,536.0
California,01/2017,2610.0
California,02/2017,2012.0
California,03/2017,1981.0
California,04/2017,1720.0
California,05/2017,1644.0
California,06/2017,1463.0
California,07/2017,1354.0
California,08/2017,1299.0
California,09/2017,1328.0
California,10/2017,1348.0
California,11/2017,1382.0
California,12/2017,2080.0
Kansas,01/2017,258.0
Kansas,02/2017,283.0
Kansas,03/2017,254.0
Kansas,04/2017,194.0
Kansas,05/2017,166.0
Kansas,06/2017,170.0
Kansas,07/2017,177.0
Kansas,08/2017,143.0
Kansas,09/2017,150.0
Kansas,10/2017,174.0
Kansas,11/2017,179.0
Kansas,12/2017,230.0
North Carolina,01/2017,810.0
North Carolina,02/2017,794.0
North Carolina,03/2017,923.0
North Carolina,04/2017,690.0
North Carolina,05/2017,607.0
North Carolina,06/2017,517.0
North Carolina,07/2017,547.0
North Carolina,08/2017,475.0
North Carolina,09/2017,542.0
North Carolina,10/2017,486.0
North Carolina,11/2017,533.0
North Carolina,12/2017,692.0
South Carolina,01/2017,392.0
South Carolina,02/2017,316.0
South Carolina,03/2017,391.0
South Carolina,04/2017,291.0
South Carolina,05/2017,316.0
South Carolina,06/2017,266.0
South Carolina,07/2017,277.0
South Carolina,08/2017,257.0
South Carolina,09/2017,272.0
South Carolina,10/2017,269.0
South Carolina,11/2017,293.0
South Carolina,12/2017,366.0
Colorado,01/2017,361.0
Colorado,02/2017,324.0
Colorado,03/2017,343.0
Colorado,04/2017,267.0
Colorado,05/2017,272.0
Colorado,06/2017,208.0
Colorado,07/2017,223.0
Colorado,08/2017,202.0
Colorado,09/2017,206.0
Colorado,10/2017,219.0
Colorado,11/2017,222.0
Colorado,12/2017,334.0
Connecticut,01/2017,224.0
Connecticut,02/2017,257.0
Connecticut,03/2017,201.0
Connecticut,04/2017,198.0
Connecticut,05/2017,177.0
Connecticut,06/2017,168.0
Connecticut,07/2017,159.0
Connecticut,08/2017,135.0
Connecticut,09/2017,138.0
Connecticut,10/2017,168.0
Connecticut,11/2017,149.0
Connecticut,12/2017,172.0
North Dakota,01/2017,53.0
