State,Month,pm10
Alabama,01/2017,12.64245810055866
Alabama,02/2017,14.416107382550335
Alabama,03/2017,15.637362637362637
Alabama,04/2017,17.944723618090453
Alabama,05/2017,15.802752293577981
Alabama,06/2017,13.681592039800995
Alabama,07/2017,20.213930348258707
Alabama,08/2017,18.883597883597883
Alabama,09/2017,20.940828402366865
Alabama,10/2017,15.297872340425531
Alabama,11/2017,17.970588235294116
Alabama,12/2017,14.852272727272727
Alaska,01/2017,13.995169082125605
Alaska,02/2017,11.05813953488372
Alaska,03/2017,16.16923076923077
Alaska,04/2017,24.17801047120419
Alaska,05/2017,15.845410628019323
Alaska,06/2017,10.45086705202312
Alaska,07/2017,11.182266009852217
Alaska,08/2017,9.0
Alaska,09/2017,8.47953216374269
Alaska,10/2017,10.942196531791907
Alaska,11/2017,15.054726368159203
Alaska,12/2017,11.26984126984127
Arkansas,01/2017,14.692307692307692
Arkansas,02/2017,13.842105263157896
Arkansas,03/2017,18.5
Arkansas,04/2017,16.82608695652174
Arkansas,05/2017,14.846153846153847
Arkansas,06/2017,13.863636363636363
Arkansas,07/2017,17.91304347826087
Arkansas,08/2017,17.045454545454547
Arkansas,09/2017,22.652173913043477
Arkansas,10/2017,17.0
Arkansas,11/2017,23.681818181818183
Arkansas,12/2017,17.09090909090909
Arizona,01/2017,16.923232323232323
Arizona,02/2017,22.81444866920152
Arizona,03/2017,30.49499666444296
Arizona,04/2017,33.72850372376439
Arizona,05/2017,30.896907216494846
Arizona,06/2017,39.92116182572614
Arizona,07/2017,33.21818181818182
Arizona,08/2017,28.006044325050368
Arizona,09/2017,35.79497907949791
Arizona,10/2017,48.81541582150101
Arizona,11/2017,48.77877947295423
Arizona,12/2017,42.603068712474986
California,01/2017,13.454779411764706
California,02/2017,13.486902286902287
California,03/2017,26.05563853622106
California,04/2017,25.69213649851632
California,05/2017,25.22554820744866
California,06/2017,27.640121350018962
California,07/2017,30.662904987258827
California,08/2017,32.4
California,09/2017,32.39406158357771
California,10/2017,42.40846071809456
California,11/2017,25.851785714285715
California,12/2017,37.19026243093923
Kansas,01/2017,12.434108527131784
Kansas,02/2017,19.682403433476395
Kansas,03/2017,25.016326530612243
Kansas,04/2017,14.472440944881889
Kansas,05/2017,15.538135593220339
Kansas,06/2017,21.626984126984127
Kansas,07/2017,22.58365758754864
Kansas,08/2017,19.36936936936937
Kansas,09/2017,28.245833333333334
Kansas,10/2017,19.56928838951311
Kansas,11/2017,23.33828996282528
Kansas,12/2017,20.474074074074075
North Carolina,01/2017,9.346303501945526
North Carolina,02/2017,13.244635193133048
North Carolina,03/2017,11.678445229681978
North Carolina,04/2017,13.799196787148594
North Carolina,05/2017,13.256637168141593
North Carolina,06/2017,13.185950413223141
North Carolina,07/2017,13.384615384615385
North Carolina,08/2017,14.10483870967742
North Carolina,09/2017,13.647058823529411
North Carolina,10/2017,11.531007751937985
North Carolina,11/2017,14.038135593220339
North Carolina,12/2017,14.09016393442623
South Carolina,01/2017,12.5
South Carolina,02/2017,18.22077922077922
South Carolina,03/2017,15.135593220338983
South Carolina,04/2017,14.842592592592593
South Carolina,05/2017,15.307017543859649
South Carolina,06/2017,13.922077922077921
South Carolina,07/2017,17.05
South Carolina,08/2017,15.627906976744185
South Carolina,09/2017,16.32075471698113
South Carolina,10/2017,13.561224489795919
South Carolina,11/2017,14.343137254901961
South Carolina,12/2017,14.156626506024097
Colorado,01/2017,15.286031042128602
Colorado,02/2017,18.289398280802292
Colorado,03/2017,22.725301204819278
Colorado,04/2017,16.196304849884527
Colorado,05/2017,15.371621621621621
Colorado,06/2017,24.618823529411763
Colorado,07/2017,20.684863523573203
Colorado,08/2017,20.426940639269407
Colorado,09/2017,21.8425
Colorado,10/2017,17.5947242206235
Colorado,11/2017,20.745945945945945
Colorado,12/2017,21.80145278450363
Connecticut,01/2017,9.991304347826087
Connecticut,02/2017,14.663461538461538
Connecticut,03/2017,9.77450980392157
Connecticut,04/2017,6.446601941747573
Connecticut,05/2017,8.909090909090908
Connecticut,06/2017,13.178571428571429
Connecticut,07/2017,11.666666666666666
Connecticut,08/2017,12.375
Connecticut,09/2017,14.065420560747663
Connecticut,10/2017,13.96078431372549
Connecticut,11/2017,9.458333333333334
Connecticut,12/2017,11.345794392523365
North Dakota,01/2017,7.0256410256410255
North Dakota,02/2017,7.5310077519379846
North Dakota,03/2017,9.293515358361775
North Dakota,04/2017,8.849829351535837
North Dakota,05/2017,17.514657980456025
North Dakota,06/2017,14.906666666666666
North Dakota,07/2017,20.18888888888889
North Dakota,08/2017,20.557377049180328
North Dakota,09/2017,21.97269624573379
North Dakota,10/2017,16.35548172757475
North Dakota,11/2017,9.053639846743295
North Dakota,12/2017,6.927335640138408
South Dakota,01/2017,12.765151515151516
South Dakota,02/2017,13.112033195020746
South Dakota,03/2017,12.714285714285714
South Dakota,04/2017,12.97265625
South Dakota,05/2017,17.676724137931036
South Dakota,06/2017,18.62015503875969
South Dakota,07/2017,20.95131086142322
