State,Month,o3
Delaware,03/2017,0.038533930875576036
Delaware,04/2017,0.03775675728155341
Delaware,05/2017,0.03603311981566821
Delaware,06/2017,0.038813876190476194
Delaware,07/2017,0.036586304147465436
Delaware,08/2017,0.030725283018867924
Delaware,09/2017,0.02638869801980198
Delaware,10/2017,0.026739853260869563
Delaware,11/2017,0.02305178461538461
Delaware,12/2017,0.020689298969072165
Florida,01/2017,0.0288101451793722
Florida,02/2017,0.03311562383031815
Florida,03/2017,0.03896567137210616
Florida,04/2017,0.03721983641618497
Florida,05/2017,0.034856035254616675
Florida,06/2017,0.021541243529411766
Florida,07/2017,0.02160814351851852
Florida,08/2017,0.020487478953356085
Florida,09/2017,0.026316520981789385
Florida,10/2017,0.026707350656767565
Florida,11/2017,0.028736814360770576
Florida,12/2017,0.026391219931271477
Georgia,01/2017,0.025988645161290323
Georgia,02/2017,0.02622486111111111
Georgia,03/2017,0.03654187096774194
Georgia,04/2017,0.03367317558528428
Georgia,05/2017,0.03342567105263158
Georgia,06/2017,0.025676458193979932
Georgia,07/2017,0.025967716129032255
Georgia,08/2017,0.025929155591572123
Georgia,09/2017,0.028567609589041094
Georgia,10/2017,0.024395939837398375
Georgia,11/2017,0.02240886666666667
Georgia,12/2017,0.021226035714285718
Hawaii,01/2017,0.03162440983606557
Hawaii,02/2017,0.030441540000000003
Hawaii,03/2017,0.02344213513513513
Hawaii,04/2017,0.025045843137254904
Hawaii,05/2017,0.024840900000000003
Hawaii,06/2017,0.018631063829787232
Hawaii,07/2017,0.01791935
Hawaii,08/2017,0.016236032258064515
Hawaii,09/2017,0.019360473684210528
Hawaii,10/2017,0.023413612903225807
Hawaii,11/2017,0.030813399999999994
Hawaii,12/2017,0.03096687096774194
Idaho,01/2017,0.0333695054945055
Idaho,02/2017,0.035391179487179486
Idaho,03/2017,0.03493806382978723
Idaho,04/2017,0.039132899159663864
Idaho,05/2017,0.037609096774193544
Idaho,06/2017,0.038285549999999995
Idaho,07/2017,0.04375143199999999
Idaho,08/2017,0.04515081203007519
Idaho,09/2017,0.03574307228915662
Idaho,10/2017,0.026600775862068965
Idaho,11/2017,0.02549557777777778
Idaho,12/2017,0.022646000000000003
Rhode Island,01/2017,0.02605687096774193
Rhode Island,02/2017,0.03368413793103448
Rhode Island,03/2017,0.03954956179775281
Rhode Island,04/2017,0.03806598888888889
Rhode Island,05/2017,0.03341231868131868
Rhode Island,06/2017,0.036883011235955054
Rhode Island,07/2017,0.031125193548387095
Rhode Island,08/2017,0.03093507608695652
Rhode Island,09/2017,0.027900885057471264
Rhode Island,10/2017,0.02910622580645161
Rhode Island,11/2017,0.025507357142857148
Rhode Island,12/2017,0.025002387096774194
Illinois,01/2017,0.01952884772370487
Illinois,02/2017,0.026580435562805874
Illinois,03/2017,0.03187013898916968
Illinois,04/2017,0.035290671270718235
Illinois,05/2017,0.03903477207207207
Illinois,06/2017,0.04053000849858357
Illinois,07/2017,0.03591082092198582
Illinois,08/2017,0.031980165004533094
Illinois,09/2017,0.03164594971537002
Illinois,10/2017,0.026445565022421524
Illinois,11/2017,0.017914399046104926
Illinois,12/2017,0.021159023847376786
Indiana,01/2017,0.019214824324324323
Indiana,02/2017,0.027817188153310104
Indiana,03/2017,0.03322435493594574
Indiana,04/2017,0.036353653281853276
Indiana,05/2017,0.0386637219330855
Indiana,06/2017,0.038741903025601244
Indiana,07/2017,0.03331014274867122
Indiana,08/2017,0.031417056316590565
Indiana,09/2017,0.02784349534161491
Indiana,10/2017,0.025066787249814676
Indiana,11/2017,0.019105146258503403
Indiana,12/2017,0.019680767213114757
Iowa,01/2017,0.020709338709677422
Iowa,02/2017,0.026523255208333332
Iowa,03/2017,0.031353805376344086
Iowa,04/2017,0.033363501118568235
Iowa,05/2017,0.03658849782608695
Iowa,06/2017,0.03996248607888631
Iowa,07/2017,0.03229983423180593
Iowa,08/2017,0.027195196765498652
Iowa,09/2017,0.030195694986072424
Iowa,10/2017,0.024709417567567563
Iowa,11/2017,0.017569961111111112
Iowa,12/2017,0.021469799999999997
Kentucky,01/2017,0.025002906077348064
Kentucky,02/2017,0.03465186387434555
Kentucky,03/2017,0.03479009518599563
Kentucky,04/2017,0.035858472727272724
Kentucky,05/2017,0.03635436677454153
Kentucky,06/2017,0.03313807382550336
Kentucky,07/2017,0.03199388938053098
Kentucky,08/2017,0.029603096703296704
Kentucky,09/2017,0.026233607347876
Kentucky,10/2017,0.025054490088105726
Kentucky,11/2017,0.026568951807228916
Kentucky,12/2017,0.024996331491712705
Louisiana,01/2017,0.027154032400589098
Louisiana,02/2017,0.029852782029950082
Louisiana,03/2017,0.033892117302052785
Louisiana,04/2017,0.03327764643399089
Louisiana,05/2017,0.033048243722304284
Louisiana,06/2017,0.021330687888198755
Louisiana,07/2017,0.020546439169139466
Louisiana,08/2017,0.020504938530734634
Louisiana,09/2017,0.028965173978819973
Louisiana,10/2017,0.025887311077389983
Louisiana,11/2017,0.02408777419354839
Louisiana,12/2017,0.021270414414414414
Maine,01/2017,0.031598013888888894
Maine,02/2017,0.03593150381679389
Maine,03/2017,0.03833493224299065
Maine,04/2017,0.037756265217391304
Maine,05/2017,0.03254706680161944
Maine,06/2017,0.031024599147121534
Maine,07/2017,0.025561268686868685
Maine,08/2017,0.025872600405679517
Maine,09/2017,0.024462864693446086
Maine,10/2017,0.027194963133640553
Maine,11/2017,0.026915528089887644
Maine,12/2017,0.028157194594594592
Maryland,01/2017,0.024295060773480665
Maryland,02/2017,0.033225464088397785
Maryland,03/2017,0.03915904459691252
Maryland,04/2017,0.038754182905982905
Maryland,05/2017,0.036285436065573766
Maryland,06/2017,0.03948489243697478
Maryland,07/2017,0.03643075165562914
Maryland,08/2017,0.03114370394736842
Maryland,09/2017,0.025736567839195985
Maryland,10/2017,0.02638988149350649
